scope_item_id,question_text_cn,rater_1_status,rater_1_primary,rater_2_status,rater_2_primary,dual_rater_consensus,primary_dimension_consensus,rater_1_reason_cn,rater_2_reason_cn
scope-0001,第二个人的抄网最终位于鱼的下方吗？,supporting_operation,C2_dynamic_spatial,supporting_operation,C2_dynamic_spatial,both_covered_with_support,C2_dynamic_spatial,询问动作结束后的实体相对位置，是动态空间关系的终态基础操作,对“第二个人的抄网最终位于鱼的下方吗？”，表层只问运动终点、局部动态关系或空间事件顺序；在该具体运动过程中它是 C2 的必要基础操作，但未直接要求建模完整关系变化。
scope-0002,驳船位于河岸建筑的前方还是后方？,supporting_operation,C2_dynamic_spatial,outside_scope,NONE,binary_coverage_contested,DISAGREEMENT,询问两个实体的静态前后关系，可作为动态空间关系的基础表示,对“驳船位于河岸建筑的前方还是后方？”，只需读取单点静态位置或方位，且没有明确动态过程或视角转换；不能仅因含空间词就归入六维。
scope-0003,女子先握住小鱼还是先让另一只手接近鱼钩？,supporting_operation,C3_action_intent,supporting_operation,C3_action_intent,both_covered_with_support,C3_action_intent,询问捕鱼操作中两个目标相关动作的先后顺序，支撑行动结构理解,对“女子先握住小鱼还是先让另一只手接近鱼钩？”，表层只问动作识别或操作先后；该具体操作围绕空间目标、受体或结果展开，是 C3 的必要基础操作，但未直接询问意图本身。
scope-0004,输电线位于城市建筑上方吗？,supporting_operation,C2_dynamic_spatial,outside_scope,NONE,binary_coverage_contested,DISAGREEMENT,询问输电线与建筑的静态上下关系,对“输电线位于城市建筑上方吗？”，只需读取单点静态位置或方位，且没有明确动态过程或视角转换；不能仅因含空间词就归入六维。
scope-0005,三脚架位于沙发坐垫上还是地面上？,supporting_operation,C2_dynamic_spatial,outside_scope,NONE,binary_coverage_contested,DISAGREEMENT,询问三脚架与承载表面的静态拓扑关系,对“三脚架位于沙发坐垫上还是地面上？”，只需读取单点静态位置或方位，且没有明确动态过程或视角转换；不能仅因含空间词就归入六维。
scope-0006,按下启动键后仪表盘发生什么状态变化？,directly_in_scope,C5_deformation_state,directly_in_scope,C5_deformation_state,both_direct,C5_deformation_state,询问按键操作导致的仪表盘状态转变,对“按下启动键后仪表盘发生什么状态变化？”，核心要求识别开合、弯曲、组装、分离、破坏或状态转变，直接考查 C5 形变与状态变化。
scope-0007,鱼最终位于船的哪一侧？,supporting_operation,C2_dynamic_spatial,supporting_operation,C2_dynamic_spatial,both_covered_with_support,C2_dynamic_spatial,询问运动结束后鱼相对船的空间终态,对“鱼最终位于船的哪一侧？”，表层只问运动终点、局部动态关系或空间事件顺序；在该具体运动过程中它是 C2 的必要基础操作，但未直接要求建模完整关系变化。；同时还需处理相机、行动者或对象参照。
scope-0008,鱼进入抄网发生在收线之前还是之后？,supporting_operation,C3_action_intent,supporting_operation,C3_action_intent,both_covered_with_support,C3_action_intent,询问捕鱼过程中收线与入网的动作顺序,对“鱼进入抄网发生在收线之前还是之后？”，表层只问动作识别或操作先后；该具体操作围绕空间目标、受体或结果展开，是 C3 的必要基础操作，但未直接询问意图本身。；同时还需跟踪相关空间关系或轨迹的时间变化。
scope-0009,他先经过照片墙还是先到达洗手间门口？,directly_in_scope,C2_dynamic_spatial,supporting_operation,C2_dynamic_spatial,both_covered_with_support,C2_dynamic_spatial,询问人物沿路径经过两个地点的先后关系,对“他先经过照片墙还是先到达洗手间门口？”，表层只问运动终点、局部动态关系或空间事件顺序；在该具体运动过程中它是 C2 的必要基础操作，但未直接要求建模完整关系变化。
scope-0010,水翼板手在水面上是否保持离水滑行？,directly_in_scope,C2_dynamic_spatial,directly_in_scope,C2_dynamic_spatial,both_direct,C2_dynamic_spatial,需要跨片段判断水翼板手与水面的高度关系是否持续,对“水翼板手在水面上是否保持离水滑行？”，核心要求跟踪对象间位置、方向、距离或轨迹随时间的变化，直接考查 C2 动态空间关系。
scope-0011,无人机降低高度后落在什么表面？,directly_in_scope,C2_dynamic_spatial,supporting_operation,C2_dynamic_spatial,both_covered_with_support,C2_dynamic_spatial,询问无人机下降轨迹的最终着陆表面,对“无人机降低高度后落在什么表面？”，表层只问运动终点、局部动态关系或空间事件顺序；在该具体运动过程中它是 C2 的必要基础操作，但未直接要求建模完整关系变化。
scope-0012,黑马从侧向行进转为朝相机靠近了吗？,directly_in_scope,C6_reference_frame,directly_in_scope,C2_dynamic_spatial,both_direct,DISAGREEMENT,需要判断马的运动方向是否由侧向变为朝相机方向,对“黑马从侧向行进转为朝相机靠近了吗？”，核心要求跟踪对象间位置、方向、距离或轨迹随时间的变化，直接考查 C2 动态空间关系。；同时还需处理相机、行动者或对象参照。
scope-0013,车辆先驶入主路还是先遇到红灯？,supporting_operation,C2_dynamic_spatial,supporting_operation,C2_dynamic_spatial,both_covered_with_support,C2_dynamic_spatial,询问车辆沿行驶路径经历两个位置事件的先后顺序,对“车辆先驶入主路还是先遇到红灯？”，表层只问运动终点、局部动态关系或空间事件顺序；在该具体运动过程中它是 C2 的必要基础操作，但未直接要求建模完整关系变化。
