audit_item_id,proposal_no,original_question_text_cn,review_status,revised_question_text_cn,primary_capability,needs_continuous_video,confidence,review_notes
audit-0002,3,镜头从持枪者转向湖面发生在水鸟起飞之前吗？,revised,镜头转向湖面后，水鸟是否始终留在水面上？,occlusion_permanence,0,medium,64帧显示镜头转向湖面后水鸟持续在水面，原问题所称起飞事件未清楚出现，故改为可直接核验的持续状态。
audit-0010,3,镜头移动的直接目标是跟随球还是展示球洞？,confirmed,"",action_goal,0,medium,64帧完整呈现镜头随球移动并最终展示洞杯区域，原问题可由全时段序列判断。
audit-0012,1,高尔夫球靠近洞杯前经过旗杆哪一侧？,still_uncertain,"",dynamic_relation,1,low,球体过小且靠近旗杆时在离散帧间移动，64帧仍不足以稳定判定经过旗杆哪一侧。
audit-0013,3,黑色汽车是否先于白色卡车离开画面？,confirmed,"",temporal_order,0,high,黑色汽车与白色卡车的离画先后在64帧序列中可追踪。
audit-0016,2,男子用工具处理肉块的直接目标是什么？,confirmed,"",action_goal,0,medium,剪刀持续作用于肉块，直接处理目标在序列中可辨。
audit-0016,3,肉块在处理过程中是否被分成更小部分？,confirmed,"",deformation_state,0,high,肉块前后状态均有清晰近景，可判断是否分成更小部分。
audit-0019,3,海浪涌来时人群先后退还是先伸手？,confirmed,"",temporal_order,0,high,海浪到达人群附近前后的身体反应顺序在连续采样帧中清楚。
audit-0023,3,鱼进入抄网后是否再次离开？,confirmed,"",occlusion_permanence,0,high,鱼、抄网及入网后的后续状态在64帧中均可追踪。
audit-0024,2,男子将绳索举起的直接目的是什么？,rejected,"",action_goal,0,low,举起绳索的用途依赖讲解语境或不可见的后续目标，仅凭64帧不能形成稳定视觉答案。
audit-0025,3,车辆是否在转弯前完全停下？,still_uncertain,"",temporal_order,1,low,车辆在转弯前是否完全静止属于速度为零的瞬时判断，离散帧仍不能可靠确认。
audit-0026,3,游泳者到达近处前采用了什么泳姿？,confirmed,"",action_event,0,high,游泳者接近镜头前的多次划水姿态在64帧中清晰可见。
audit-0027,3,手指接触灯顶后灯光状态是否改变？,confirmed,"",deformation_state,0,high,手指触碰前后灯的发光状态均有多帧覆盖。
audit-0031,3,骑手通过调整身体姿势达到什么即时目标？,confirmed,"",action_goal,0,medium,骑手持续调整身体以维持板上稳定，动作与即时空间目标在序列中具有充分视觉依据。
audit-0032,1,蓝队传中后球先到绿队球员还是守门员附近？,confirmed,"",temporal_order,0,medium,传中轨迹以及球到达门前不同主体附近的先后可在64帧中追踪。
