blind_proposal_id,final_status,closest_generated_id,confidence,adjudication_reason_cn
judgment-0001,partial,audit-0001-g01,medium,生成题提到先滑蓝色栏杆且之后摔倒的位置，但未判断是否完整滑过并落回雪面。
judgment-0002,absent,audit-0001-g01,high,"生成题 audit-0001-g01 询问：“[True/False] At the end of the video, after the fall, the snowboarder is positioned uphill and to the left of the blue rail they slid on at the beginning.”；参考题询问：“滑雪板相对栏杆的高度和方向如何变化？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。"
judgment-0003,partial,audit-0001-g01,medium,生成题交代栏杆滑行动作在开头且结尾已摔倒，能关联先后关系，但任务本身是判断摔倒后的空间位置。
judgment-0004,partial,audit-0001-g01,medium,生成题说明接触蓝色栏杆后发生摔倒，却未完整询问接近栏杆后的动作序列。
judgment-0005,direct,audit-0001-g01,high,生成题明确把栏杆滑行置于开头并说明随后摔倒，直接覆盖越杆后未保持站立这一核心事实。
judgment-0007,absent,audit-0002-g02,high,"生成题 audit-0002-g02 询问：“[Single-Choice] From the shooter's perspective, what is the spatial relationship between the targeted flying bird and the main flock of floating ducks at the exact moment the shot is fired? [Options] A) The flying bird is between the shooter and the flock. B) The flock is between the shooter and the flying bird. C) The flying bird is directly above the flock. D) The flying bird is to the far right of the flock.”；参考题询问：“男子的枪口主要朝向水面还是天空？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。"
judgment-0008,absent,audit-0002-g01,high,生成题 audit-0002-g01 询问：“[True/False] The single duck floating near the shore at the beginning of the video is located to the right of the main flock of ducks seen in the water later in the video.”；参考题询问：“湖面上有几只水鸟同时可见？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。
judgment-0009,absent,audit-0002-g01,high,生成题 audit-0002-g01 询问：“[True/False] The single duck floating near the shore at the beginning of the video is located to the right of the main flock of ducks seen in the water later in the video.”；参考题询问：“水鸟群相对岸边如何移动？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。
judgment-0013,partial,audit-0003-g01,medium,生成题把黄色房屋描述为画面中央，触及中心房屋，但未覆盖镜头移动后进入中央的动态过程。
judgment-0018,absent,audit-0004-g02,high,"生成题 audit-0004-g02 询问：“[Single-Choice] After bringing the fish into the kayak and steadying it, what is the person's most immediate action-oriented goal based on the spatial arrangement of their hands, the fish, and the fishing line? [Options] A) To take a photo of the fish. B) To release the fish back into the water. C) To remove the hook from the fish's mouth. D) To put the fish into a storage compartment.”；参考题询问：“人先展示鱼还是先处理鱼钩？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。"
judgment-0019,absent,audit-0004-g01,high,"生成题 audit-0004-g01 询问：“[Fill-in-the-Blank] As the person lifts the fish from the water into the kayak, the distance between the yellow bobber and the fish's mouth steadily ____.”；参考题询问：“钓鱼者先拿着浮漂还是先展示鱼？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。"
judgment-0021,absent,audit-0004-g01,high,"生成题 audit-0004-g01 询问：“[Fill-in-the-Blank] As the person lifts the fish from the water into the kayak, the distance between the yellow bobber and the fish's mouth steadily ____.”；参考题询问：“鱼被举起后其身体朝向如何变化？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。"
judgment-0029,partial,audit-0006-g03,medium,"生成题 audit-0006-g03 询问：“[Multiple-Select] The video pans from left to right across a line of seated men. If the camera had instead panned from right to left at the same speed, which two individuals would have been the first to appear fully in the frame? (Select two) [Options] A) The man in the black cowboy hat. B) The man in the brown kufi cap. C) The man in the patterned cap. D) The man in the blue beanie.”；参考题询问：“戴蓝帽的人在戴宽檐帽的人之前还是之后出现？”。二者有明确语义重合，但生成题只覆盖参考事实的一部分，或改问了不同参照、时间点、条件或细节，不能直接回答参考题。"
judgment-0031,uncertain,audit-0006-g03,low,参考中的“戴帽男子”无法从文字稳定对应牛仔帽、库菲帽、花纹帽或蓝帽中的哪一人，因而不能可靠比较左右关系。
