audit_item_id,proposal_no,original_question_text_cn,review_status,revised_question_text_cn,primary_capability,needs_continuous_video,confidence,review_notes
audit-0001,2,滑雪板相对栏杆的高度和方向如何变化？,confirmed,滑雪板相对栏杆的高度和方向如何变化？,dynamic_relation,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0002,1,男子举枪后水面的鸟群发生了什么变化？,still_uncertain,男子举枪后水面的鸟群发生了什么变化？,action_event,1,medium,鸟群目标过小，离散帧不足以可靠判断举枪前后的即时反应。
audit-0002,2,鸟群从水面向哪个方向飞离？,still_uncertain,鸟群从水面向哪个方向飞离？,dynamic_relation,1,medium,鸟群目标过小且飞行轨迹跨帧不连续，需要连续视频确认飞离方向。
audit-0003,1,乌云在房屋上空是否发生明显位移？,still_uncertain,乌云在房屋上空是否发生明显位移？,dynamic_relation,1,medium,云层位移与相机轻微运动难以仅凭离散帧分离。
audit-0004,2,浮标相对皮划艇的位置如何变化？,confirmed,浮标相对皮划艇的位置如何变化？,dynamic_relation,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0005,2,冲浪者沿浪壁的运动方向如何变化？,confirmed,冲浪者沿浪壁的运动方向如何变化？,dynamic_relation,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0006,2,戴帽老人把视线转向了哪一侧？,still_uncertain,戴帽老人把视线转向了哪一侧？,orientation_facing,1,medium,帽檐和侧脸遮挡眼部，离散帧不能可靠确定视线转向。
audit-0007,2,虾在水草上的朝向是否发生改变？,confirmed,虾在水草上的朝向是否发生改变？,orientation_facing,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0008,1,浪峰朝岸边推进时形状如何变化？,confirmed,浪峰朝岸边推进时形状如何变化？,deformation_state,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0008,3,同一条浪峰是否持续横跨整个画面？,still_uncertain,同一条浪峰是否持续横跨整个画面？,dynamic_relation,1,medium,连续浪峰形态相似，离散帧难以保证跨全片追踪的是同一条浪峰。
audit-0009,2,船体或相机沿岸线向哪一侧移动？,revised,从画面参照系看，岸线相对相机向哪一侧移动？,reference_frame,0,high,64帧显示可可靠判断的是岸线相对相机的画面位移，无法仅凭画面区分船体运动与手持相机运动。
audit-0009,3,水面反光区域随镜头移动发生了什么变化？,confirmed,水面反光区域随镜头移动发生了什么变化？,dynamic_relation,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0010,2,球员与球洞之间的距离随镜头推进如何变化？,confirmed,球员与球洞之间的距离随镜头推进如何变化？,dynamic_relation,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0011,1,无人机是先远离相机还是先靠近相机？,confirmed,无人机是先远离相机还是先靠近相机？,temporal_order,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0011,2,无人机相对地面的高度如何变化？,confirmed,无人机相对地面的高度如何变化？,dynamic_relation,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0012,2,击球后球与旗杆之间的距离如何变化？,still_uncertain,击球后球与旗杆之间的距离如何变化？,dynamic_relation,1,medium,击出后的球尺寸过小，无法在64帧中持续定位其与旗杆的距离。
audit-0013,1,拍摄车辆经过帐篷区时白色皮卡位于镜头哪一侧？,confirmed,拍摄车辆经过帐篷区时白色皮卡位于镜头哪一侧？,reference_frame,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0013,2,车辆与大型透明帐篷的距离如何变化？,confirmed,车辆与大型透明帐篷的距离如何变化？,dynamic_relation,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0014,2,骑手与相机之间的距离如何变化？,confirmed,骑手与相机之间的距离如何变化？,dynamic_relation,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0014,3,马匹在靠近过程中是否改变步态？,still_uncertain,马匹在靠近过程中是否改变步态？,action_event,1,medium,步态转换依赖连续运动节律，静态采样不足以可靠区分。
audit-0016,1,男子对肉块使用工具后肉块是否被分离？,confirmed,男子对肉块使用工具后肉块是否被分离？,deformation_state,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
