scope_item_id,question_text_cn
scope-0001,第二个人的抄网最终位于鱼的下方吗？
scope-0002,驳船位于河岸建筑的前方还是后方？
scope-0003,女子先握住小鱼还是先让另一只手接近鱼钩？
scope-0004,输电线位于城市建筑上方吗？
scope-0005,三脚架位于沙发坐垫上还是地面上？
scope-0006,按下启动键后仪表盘发生什么状态变化？
scope-0007,鱼最终位于船的哪一侧？
scope-0008,鱼进入抄网发生在收线之前还是之后？
scope-0009,他先经过照片墙还是先到达洗手间门口？
scope-0010,水翼板手在水面上是否保持离水滑行？
scope-0011,无人机降低高度后落在什么表面？
scope-0012,黑马从侧向行进转为朝相机靠近了吗？
scope-0013,车辆先驶入主路还是先遇到红灯？
scope-0014,摩托车驶过路口时向哪一侧转弯？
scope-0015,鱼从水下出现到被举起经历了什么顺序？
scope-0016,白色汽车绕场地行驶时方向如何持续变化？
scope-0017,发动机盖在整个片段中保持打开吗？
scope-0018,浪线相对沙滩边缘如何推进？
scope-0019,鱼竿弯曲方向相对海面如何变化？
scope-0020,烟雾出现发生在正式加速之前还是之后？
scope-0021,男子按压后车门区域后车门是否打开？
scope-0022,蓝色橡皮筋的编织结构如何随操作变化？
scope-0023,机翼相对跑道始终位于画面下方吗？
scope-0024,冲浪者在片段中是否完成了不止一次方向相反的明显转向？
scope-0025,水面反光区域随镜头移动发生了什么变化？
scope-0026,红色汽车绕场时是否与另一辆红车交会？
scope-0027,两辆车之间的距离如何变化？
scope-0028,男子先展示绳端还是先演示船上固定点？
scope-0029,鱼被举起后其身体朝向如何变化？
scope-0030,着陆时机身朝向是否保持稳定？
scope-0031,男子的手主要指向发动机舱的哪个区域？
scope-0032,男子操作后折叠自行车的轮部状态是否改变？
scope-0033,栏杆是否始终位于画面下方？
scope-0034,火箭尖端相对发射架位于什么方向？
scope-0035,汽车绕行时车头朝向如何改变？
scope-0036,镜头先展示座椅材质还是先展示驾驶控制区？
scope-0037,橙衣男子是否反复低头操作物体？
scope-0038,方向盘相对中控屏位于驾驶者哪一侧？
scope-0039,人物经过镜头后田间箱子位于画面哪一侧？
scope-0040,冲浪者在浪壁上的高度如何变化？
scope-0041,车床加工前后木杆表面如何变化？
scope-0042,白色围墙在转弯前位于车辆哪一侧？
scope-0043,汽车经过镜头时朝向如何改变？
scope-0044,使用工具的直接目标是什么？
scope-0045,绳索在手中形成了什么结构？
scope-0046,车辆经过时透明大帐篷位于画面哪一侧？
scope-0047,彩色物体主要位于树线的上方还是下方？
scope-0048,纪念碑相对水池位于什么方向？
scope-0049,石门上突出的石块分布在门洞两侧吗？
scope-0050,镜头移动时村庄从哪侧进入画面？
scope-0051,游泳者到达近处前采用了什么泳姿？
scope-0052,若维持当前轨迹车辆会接近弯道内侧吗？
scope-0053,人群是否朝同一方向移动？
