blind_proposal_id,author_id,audit_item_id,proposal_no,primary_capability
judgment-0001,author_a,audit-0001,1,action_event
judgment-0002,author_a,audit-0001,2,dynamic_relation
judgment-0003,author_a,audit-0001,3,temporal_order
judgment-0004,author_b,audit-0001,1,action_event
judgment-0005,author_b,audit-0001,2,temporal_order
judgment-0006,author_b,audit-0001,3,orientation_facing
judgment-0007,author_a,audit-0002,3,orientation_facing
judgment-0008,author_b,audit-0002,1,entity_attribute
judgment-0009,author_b,audit-0002,2,dynamic_relation
judgment-0010,author_b,audit-0002,3,occlusion_permanence
judgment-0011,author_a,audit-0003,2,static_relation
judgment-0012,author_a,audit-0003,3,temporal_order
judgment-0013,author_b,audit-0003,1,dynamic_relation
judgment-0014,author_b,audit-0003,2,occlusion_permanence
judgment-0015,author_b,audit-0003,3,static_relation
judgment-0016,author_a,audit-0004,1,action_event
judgment-0017,author_a,audit-0004,2,dynamic_relation
judgment-0018,author_a,audit-0004,3,temporal_order
judgment-0019,author_b,audit-0004,1,temporal_order
judgment-0020,author_b,audit-0004,2,reference_frame
judgment-0021,author_b,audit-0004,3,orientation_facing
judgment-0022,author_a,audit-0005,1,occlusion_permanence
judgment-0023,author_a,audit-0005,2,dynamic_relation
judgment-0024,author_a,audit-0005,3,temporal_order
judgment-0025,author_b,audit-0005,1,occlusion_permanence
judgment-0026,author_b,audit-0005,2,dynamic_relation
judgment-0027,author_b,audit-0005,3,temporal_order
judgment-0028,author_a,audit-0006,1,entity_attribute
judgment-0029,author_a,audit-0006,3,temporal_order
judgment-0030,author_b,audit-0006,1,temporal_order
judgment-0031,author_b,audit-0006,2,static_relation
judgment-0032,author_b,audit-0006,3,temporal_order
judgment-0033,author_a,audit-0007,1,temporal_order
judgment-0034,author_a,audit-0007,2,orientation_facing
judgment-0035,author_a,audit-0007,3,entity_attribute
judgment-0036,author_b,audit-0007,1,temporal_order
judgment-0037,author_b,audit-0007,2,static_relation
judgment-0038,author_b,audit-0007,3,dynamic_relation
judgment-0039,author_a,audit-0008,1,deformation_state
judgment-0040,author_a,audit-0008,2,static_relation
judgment-0041,author_b,audit-0008,1,dynamic_relation
judgment-0042,author_b,audit-0008,2,deformation_state
judgment-0043,author_b,audit-0008,3,dynamic_relation
judgment-0044,author_a,audit-0009,1,static_relation
judgment-0045,author_a,audit-0009,2,reference_frame
judgment-0046,author_a,audit-0009,3,dynamic_relation
judgment-0047,author_b,audit-0009,1,dynamic_relation
judgment-0048,author_b,audit-0009,2,entity_attribute
judgment-0049,author_b,audit-0009,3,reference_frame
judgment-0050,author_a,audit-0010,1,temporal_order
judgment-0051,author_a,audit-0010,2,dynamic_relation
judgment-0052,author_a,audit-0010,3,static_relation
judgment-0053,author_b,audit-0010,1,occlusion_permanence
judgment-0054,author_b,audit-0010,2,static_relation
judgment-0055,author_b,audit-0010,3,action_goal
judgment-0056,author_a,audit-0011,1,temporal_order
judgment-0057,author_a,audit-0011,2,dynamic_relation
judgment-0058,author_a,audit-0011,3,action_event
judgment-0059,author_b,audit-0011,1,temporal_order
judgment-0060,author_b,audit-0011,2,dynamic_relation
judgment-0061,author_b,audit-0011,3,occlusion_permanence
judgment-0062,author_a,audit-0012,1,static_relation
judgment-0063,author_a,audit-0012,3,temporal_order
judgment-0064,author_b,audit-0012,2,temporal_order
judgment-0065,author_b,audit-0012,3,static_relation
judgment-0066,author_a,audit-0013,1,reference_frame
judgment-0067,author_a,audit-0013,2,dynamic_relation
judgment-0068,author_a,audit-0013,3,temporal_order
judgment-0069,author_b,audit-0013,1,reference_frame
judgment-0070,author_b,audit-0013,2,dynamic_relation
judgment-0071,author_b,audit-0013,3,temporal_order
judgment-0072,author_a,audit-0014,1,orientation_facing
judgment-0073,author_a,audit-0014,2,dynamic_relation
judgment-0074,author_b,audit-0014,1,orientation_facing
judgment-0075,author_b,audit-0014,2,static_relation
