blind_proposal_id,coverage_status,closest_generated_id,confidence,reason_cn
judgment-0001,absent,audit-0001-g01,0.88,"生成题 audit-0001-g01 询问：“[True/False] At the end of the video, after the fall, the snowboarder is positioned uphill and to the left of the blue rail they slid on at the beginning.”；参考题询问：“滑雪者是否完整滑过栏杆后落回雪面？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。"
judgment-0002,absent,audit-0001-g01,0.88,"生成题 audit-0001-g01 询问：“[True/False] At the end of the video, after the fall, the snowboarder is positioned uphill and to the left of the blue rail they slid on at the beginning.”；参考题询问：“滑雪板相对栏杆的高度和方向如何变化？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。"
judgment-0003,absent,audit-0001-g01,0.88,"生成题 audit-0001-g01 询问：“[True/False] At the end of the video, after the fall, the snowboarder is positioned uphill and to the left of the blue rail they slid on at the beginning.”；参考题询问：“摔倒发生在越过栏杆之前还是之后？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。"
judgment-0004,absent,audit-0001-g01,0.88,"生成题 audit-0001-g01 询问：“[True/False] At the end of the video, after the fall, the snowboarder is positioned uphill and to the left of the blue rail they slid on at the beginning.”；参考题询问：“滑雪者接近金属杆后做了什么？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。"
judgment-0005,partial,audit-0001-g01,0.72,"生成题 audit-0001-g01 询问：“[True/False] At the end of the video, after the fall, the snowboarder is positioned uphill and to the left of the blue rail they slid on at the beginning.”；参考题询问：“滑雪者越过杆后是否保持站立？”。二者有明确语义重合，但生成题只覆盖参考事实的一部分，或改问了不同参照、时间点、条件或细节，不能直接回答参考题。"
judgment-0006,partial,audit-0001-g01,0.72,"生成题 audit-0001-g01 询问：“[True/False] At the end of the video, after the fall, the snowboarder is positioned uphill and to the left of the blue rail they slid on at the beginning.”；参考题询问：“滑雪者最后朝雪坡的哪个方向滑走？”。二者有明确语义重合，但生成题只覆盖参考事实的一部分，或改问了不同参照、时间点、条件或细节，不能直接回答参考题。"
judgment-0007,absent,audit-0002-g02,0.88,"生成题 audit-0002-g02 询问：“[Single-Choice] From the shooter's perspective, what is the spatial relationship between the targeted flying bird and the main flock of floating ducks at the exact moment the shot is fired? [Options] A) The flying bird is between the shooter and the flock. B) The flock is between the shooter and the flying bird. C) The flying bird is directly above the flock. D) The flying bird is to the far right of the flock.”；参考题询问：“男子的枪口主要朝向水面还是天空？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。"
judgment-0008,absent,audit-0002-g01,0.88,生成题 audit-0002-g01 询问：“[True/False] The single duck floating near the shore at the beginning of the video is located to the right of the main flock of ducks seen in the water later in the video.”；参考题询问：“湖面上有几只水鸟同时可见？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。
judgment-0009,absent,audit-0002-g01,0.88,生成题 audit-0002-g01 询问：“[True/False] The single duck floating near the shore at the beginning of the video is located to the right of the main flock of ducks seen in the water later in the video.”；参考题询问：“水鸟群相对岸边如何移动？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。
judgment-0010,partial,audit-0002-g02,0.72,"生成题 audit-0002-g02 询问：“[Single-Choice] From the shooter's perspective, what is the spatial relationship between the targeted flying bird and the main flock of floating ducks at the exact moment the shot is fired? [Options] A) The flying bird is between the shooter and the flock. B) The flock is between the shooter and the flying bird. C) The flying bird is directly above the flock. D) The flying bird is to the far right of the flock.”；参考题询问：“镜头转向湖面后，水鸟是否始终留在水面上？”。二者有明确语义重合，但生成题只覆盖参考事实的一部分，或改问了不同参照、时间点、条件或细节，不能直接回答参考题。"
judgment-0011,absent,audit-0003-g01,0.88,"生成题 audit-0003-g01 询问：“[Single-Choice] Observing the general direction of the cloud movement across the sky, which area is most likely to be impacted by the rain curtain next? [Options] A) The mountain visible on the left side of the frame. B) The houses located to the far right of the yellow house. C) The yellow house in the center of the frame. D) The area from which the video is being filmed.”；参考题询问：“镜头中最显眼的房屋位于山体前方还是后方？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。"
judgment-0012,absent,audit-0003-g01,0.88,"生成题 audit-0003-g01 询问：“[Single-Choice] Observing the general direction of the cloud movement across the sky, which area is most likely to be impacted by the rain curtain next? [Options] A) The mountain visible on the left side of the frame. B) The houses located to the far right of the yellow house. C) The yellow house in the center of the frame. D) The area from which the video is being filmed.”；参考题询问：“镜头先呈现山体还是近处房屋？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。"
judgment-0013,absent,audit-0003-g01,0.88,"生成题 audit-0003-g01 询问：“[Single-Choice] Observing the general direction of the cloud movement across the sky, which area is most likely to be impacted by the rain curtain next? [Options] A) The mountain visible on the left side of the frame. B) The houses located to the far right of the yellow house. C) The yellow house in the center of the frame. D) The area from which the video is being filmed.”；参考题询问：“镜头移动后哪栋房屋进入画面中央？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。"
judgment-0014,absent,audit-0003-g01,0.88,"生成题 audit-0003-g01 询问：“[Single-Choice] Observing the general direction of the cloud movement across the sky, which area is most likely to be impacted by the rain curtain next? [Options] A) The mountain visible on the left side of the frame. B) The houses located to the far right of the yellow house. C) The yellow house in the center of the frame. D) The area from which the video is being filmed.”；参考题询问：“前景立柱何时遮住远处山景？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。"
judgment-0015,partial,audit-0003-g01,0.72,"生成题 audit-0003-g01 询问：“[Single-Choice] Observing the general direction of the cloud movement across the sky, which area is most likely to be impacted by the rain curtain next? [Options] A) The mountain visible on the left side of the frame. B) The houses located to the far right of the yellow house. C) The yellow house in the center of the frame. D) The area from which the video is being filmed.”；参考题询问：“深色云层位于房屋上方吗？”。二者有明确语义重合，但生成题只覆盖参考事实的一部分，或改问了不同参照、时间点、条件或细节，不能直接回答参考题。"
judgment-0016,direct,audit-0004-g01,0.90,"生成题 audit-0004-g01 询问：“[Fill-in-the-Blank] As the person lifts the fish from the water into the kayak, the distance between the yellow bobber and the fish's mouth steadily ____.”；参考题询问：“皮划艇上的人最终把鱼移到艇内还是水外？”。二者都要求判断同一个核心可视事实，且需要的空间、时间或状态推理操作基本一致。"
judgment-0017,partial,audit-0004-g01,0.72,"生成题 audit-0004-g01 询问：“[Fill-in-the-Blank] As the person lifts the fish from the water into the kayak, the distance between the yellow bobber and the fish's mouth steadily ____.”；参考题询问：“浮标相对皮划艇的位置如何变化？”。二者有明确语义重合，但生成题只覆盖参考事实的一部分，或改问了不同参照、时间点、条件或细节，不能直接回答参考题。"
judgment-0018,absent,audit-0004-g02,0.88,"生成题 audit-0004-g02 询问：“[Single-Choice] After bringing the fish into the kayak and steadying it, what is the person's most immediate action-oriented goal based on the spatial arrangement of their hands, the fish, and the fishing line? [Options] A) To take a photo of the fish. B) To release the fish back into the water. C) To remove the hook from the fish's mouth. D) To put the fish into a storage compartment.”；参考题询问：“人先展示鱼还是先处理鱼钩？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。"
judgment-0019,absent,audit-0004-g01,0.88,"生成题 audit-0004-g01 询问：“[Fill-in-the-Blank] As the person lifts the fish from the water into the kayak, the distance between the yellow bobber and the fish's mouth steadily ____.”；参考题询问：“钓鱼者先拿着浮漂还是先展示鱼？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。"
judgment-0020,absent,audit-0004-g03,0.88,"生成题 audit-0004-g03 询问：“[True/False] From the camera's first-person perspective, the fishing rod remains positioned entirely on the left side of the kayak.”；参考题询问：“鱼相对皮划艇船头位于哪一侧？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。"
judgment-0021,absent,audit-0004-g01,0.88,"生成题 audit-0004-g01 询问：“[Fill-in-the-Blank] As the person lifts the fish from the water into the kayak, the distance between the yellow bobber and the fish's mouth steadily ____.”；参考题询问：“鱼被举起后其身体朝向如何变化？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。"
judgment-0022,partial,audit-0005-g02,0.72,"生成题 audit-0005-g02 询问：“[True/False] At the moment the surfer is most obscured by the wave's curl, the tip of their surfboard is the only part of the surfer/board combination that is visible.”；参考题询问：“冲浪者进入浪管后是否再次清晰出现？”。二者有明确语义重合，但生成题只覆盖参考事实的一部分，或改问了不同参照、时间点、条件或细节，不能直接回答参考题。"
judgment-0023,partial,audit-0005-g01,0.72,"生成题 audit-0005-g01 询问：“[Single-Choice] As the surfer performs the final turn at the end of the ride (00:08-00:10), how does their upper body rotate relative to the direction the board is traveling? [Options] A) Their upper body rotates in the same direction as the turn. B) Their upper body rotates in the opposite direction of the turn. C) Their upper body remains perfectly still and aligned with the board. D) Their upper body faces directly towards the beach, perpendicular to the board.”；参考题询问：“冲浪者沿浪壁的运动方向如何变化？”。二者有明确语义重合，但生成题只覆盖参考事实的一部分，或改问了不同参照、时间点、条件或细节，不能直接回答参考题。"
judgment-0024,partial,audit-0005-g02,0.72,"生成题 audit-0005-g02 询问：“[True/False] At the moment the surfer is most obscured by the wave's curl, the tip of their surfboard is the only part of the surfer/board combination that is visible.”；参考题询问：“浪花完全遮住冲浪者发生在其转向之前还是之后？”。二者有明确语义重合，但生成题只覆盖参考事实的一部分，或改问了不同参照、时间点、条件或细节，不能直接回答参考题。"
judgment-0025,direct,audit-0005-g02,0.90,"生成题 audit-0005-g02 询问：“[True/False] At the moment the surfer is most obscured by the wave's curl, the tip of their surfboard is the only part of the surfer/board combination that is visible.”；参考题询问：“冲浪者进入浪管后是否一度被浪花遮住？”。二者都要求判断同一个核心可视事实，且需要的空间、时间或状态推理操作基本一致。"
judgment-0026,partial,audit-0005-g01,0.72,"生成题 audit-0005-g01 询问：“[Single-Choice] As the surfer performs the final turn at the end of the ride (00:08-00:10), how does their upper body rotate relative to the direction the board is traveling? [Options] A) Their upper body rotates in the same direction as the turn. B) Their upper body rotates in the opposite direction of the turn. C) Their upper body remains perfectly still and aligned with the board. D) Their upper body faces directly towards the beach, perpendicular to the board.”；参考题询问：“冲浪者从浪管出来后向哪个方向滑行？”。二者有明确语义重合，但生成题只覆盖参考事实的一部分，或改问了不同参照、时间点、条件或细节，不能直接回答参考题。"
judgment-0027,absent,audit-0005-g02,0.88,"生成题 audit-0005-g02 询问：“[True/False] At the moment the surfer is most obscured by the wave's curl, the tip of their surfboard is the only part of the surfer/board combination that is visible.”；参考题询问：“冲浪者在浪峰塌下前是否保持站立？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。"
judgment-0028,absent,audit-0006-g01,0.88,"生成题 audit-0006-g01 询问：“[True/False] In the final few seconds, the man in the checkered shirt and blue beanie partially occludes the man in the grey shirt and brown kufi cap from the camera's viewpoint.”；参考题询问：“镜头依次展示了几名坐着的老人？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。"
judgment-0029,partial,audit-0006-g03,0.72,"生成题 audit-0006-g03 询问：“[Multiple-Select] The video pans from left to right across a line of seated men. If the camera had instead panned from right to left at the same speed, which two individuals would have been the first to appear fully in the frame? (Select two) [Options] A) The man in the black cowboy hat. B) The man in the brown kufi cap. C) The man in the patterned cap. D) The man in the blue beanie.”；参考题询问：“戴蓝帽的人在戴宽檐帽的人之前还是之后出现？”。二者有明确语义重合，但生成题只覆盖参考事实的一部分，或改问了不同参照、时间点、条件或细节，不能直接回答参考题。"
judgment-0030,absent,audit-0006-g01,0.88,"生成题 audit-0006-g01 询问：“[True/False] In the final few seconds, the man in the checkered shirt and blue beanie partially occludes the man in the grey shirt and brown kufi cap from the camera's viewpoint.”；参考题询问：“镜头依次聚焦了几位坐着的人？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。"
