audit_item_id,proposal_no,question_text_cn,primary_capability,intent_required,reference_transform,prediction_or_counterfactual,temporal_integration,occlusion_tracking,deformation_tracking,human_involved,reasoning_level,question_format,needs_full_video,confidence,author_notes,review_status,excluded_from_coverage
audit-0001,1,滑雪者是否完整滑过栏杆后落回雪面？,action_event,0,0,0,1,0,0,1,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0001,2,滑雪板相对栏杆的高度和方向如何变化？,dynamic_relation,0,0,0,1,0,0,1,intermediate,short_answer,0,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,confirmed,0
audit-0001,3,摔倒发生在越过栏杆之前还是之后？,temporal_order,0,0,0,1,0,0,1,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0002,1,男子举枪后水面的鸟群发生了什么变化？,action_event,0,0,0,1,0,0,1,intermediate,short_answer,1,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,still_uncertain,0
audit-0002,2,鸟群从水面向哪个方向飞离？,dynamic_relation,0,0,0,1,0,0,1,intermediate,short_answer,1,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,still_uncertain,0
audit-0002,3,男子的枪口主要朝向水面还是天空？,orientation_facing,0,0,0,1,0,0,1,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0003,1,乌云在房屋上空是否发生明显位移？,dynamic_relation,0,0,0,1,0,0,0,intermediate,short_answer,1,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,still_uncertain,0
audit-0003,2,镜头中最显眼的房屋位于山体前方还是后方？,static_relation,0,0,0,0,0,0,0,low,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0003,3,镜头先呈现山体还是近处房屋？,temporal_order,0,0,0,1,0,0,0,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0004,1,皮划艇上的人最终把鱼移到艇内还是水外？,action_event,0,0,0,1,0,0,1,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0004,2,浮标相对皮划艇的位置如何变化？,dynamic_relation,0,0,0,1,0,0,1,intermediate,short_answer,0,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,confirmed,0
