candidate_pair_id,packet_id,pair_type,video,arm_a_index,arm_a_category_id,arm_a_category,arm_a_scene_type,arm_a_question_type,arm_a_question,arm_a_answer,arm_b_index,arm_b_category_id,arm_b_category,arm_b_scene_type,arm_b_question_type,arm_b_question,arm_b_answer,question_type_match,scene_type_match,pair_sha256
pair-cag-012-p01,pair-cag-012,camera_vs_actor_goal,ixmQzysi2sc_19_0_02_16_369_to_0_02_28_314.mp4,7430,6,Egocentric vs. Allocentric Reference Frames,Human-Centric,Single-Choice,"[Single-Choice] At the start of the video, from the camera's point of view, where is the large Gothic church located relative to the woman? [Options] A) The church is directly behind her. B) The church is to her left, mostly behind the man. C) The church is to her right. D) The church is fully obscured by the man's body.",B,5807,3,Action and Intent-Driven Spatial Reasoning,Human-Centric,Multiple-Select,"[Multiple-Select] The people are intentionally creating a 'tourist' video. Which of the following spatial choices visually support this goal? (Select all that apply) [Options] A) They have framed the shot to include a prominent, historic church in the background. B) The camera is held close to their faces, excluding the surrounding environment. C) They are positioned centrally within a bustling public square with market stalls. D) The camera angle is low, pointing upwards to emphasize the scale of the buildings around them.","A, C, D",no,yes,9237ae4e6a3cd9166ed76b48141c8f5509cafaa9d3a0a3e10b45c5bee000d3d4
pair-cag-017-p01,pair-cag-017,camera_vs_actor_goal,mpBi6mumey8_22_0_04_43_000_to_0_05_06_279.mp4,5710,6,Egocentric vs. Allocentric Reference Frames,Human-Centric,Single-Choice,"[Single-Choice] From the visual perspective of any rower in the leading yellow boat, the white tents on the riverbank are located in which direction relative to their body?
 [Options] A) Directly in front of them.
B) Directly behind them.
C) To their left side.
D) To their right side.",D,9569,3,Action and Intent-Driven Spatial Reasoning,Human-Centric,True/False,"[True/False] The forward motion of the yellow boat is achieved by the four rowers pulling their oars through the water in a synchronized, repeating pattern.",True,no,yes,0409594fc83b75fba3565cd7ca8d5679e403f56476a0dde2d00ff2e9c869af15
pair-cag-022-p01,pair-cag-022,camera_vs_actor_goal,fg5OKg5ul3A_37_0_06_15_408_to_0_06_34_227.mp4,9146,6,Egocentric vs. Allocentric Reference Frames,Human-Centric,True/False,"[True/False] From the perspective of the person eating, the compartment with onions is located to the right of the compartment with the main curry sauce.",False,8316,3,Action and Intent-Driven Spatial Reasoning,Human-Centric,Single-Choice,[Single-Choice] What is the immediate spatial goal of the person's left hand at the beginning of the video? [Options] A) To move the entire plate closer. B) To pick up the spoon from the curry. C) To add onions from the side compartment to the sandwich. D) To pick up the second piece of bread.,C,no,yes,cddeef04b8348957002fb5cc73a96967729900bc36ae53c4ffc9f18913a1ae88
pair-cag-034-p01,pair-cag-034,camera_vs_actor_goal,hIjz8pSczC4_27_0_05_04_633_to_0_05_15_066.mp4,7855,6,Egocentric vs. Allocentric Reference Frames,Human-Centric,Single-Choice,"[Single-Choice] The video begins with a first-person view of a hand pointing at the water. From the final perspective of the person in the camouflage jacket, where is this pointed-at area located? [Options] A) Directly behind them. B) To their immediate left. C) In front of them and to their right. D) Directly in front of them.",C,7854,3,Action and Intent-Driven Spatial Reasoning,Human-Centric,Single-Choice,"[Single-Choice] Based on the initial pointing gesture towards the water and the presence of fishing equipment, what is the most likely immediate purpose of the gesture? [Options] A) To indicate the direction of the distant shoreline. B) To show where a piece of equipment fell into the water. C) To draw another person's attention to a specific spot in the water, likely for fishing. D) To measure the distance to an incoming wave.",C,yes,yes,3ab286fc839b1c78be242774779509adf19979245c398f49e7b1c2cdcd79741c
pair-cag-038-p01,pair-cag-038,camera_vs_actor_goal,WrTTfmkKQsM_46_0_08_03_524_to_0_08_15_119.mp4,588,6,Egocentric vs. Allocentric Reference Frames,Human-Centric,Single-Choice,"[Single-Choice] As the motorcycle accelerates through the intersection, what is the final position of the red car relative to the motorcycle's camera? [Options] A) Directly in front of the motorcycle. B) To the right and behind the motorcycle. C) To the left and behind the motorcycle. D) It is no longer visible.",A,2154,3,Action and Intent-Driven Spatial Reasoning,Human-Centric,Single-Choice,"[Single-Choice] Based on the sequence of events, what is the most immediate visual cue that prompts the motorcycle rider to start moving forward? [Options] A) The traffic light turning green. B) The red car ahead starting to accelerate. C) A change in the position of the construction barriers. D) The disappearance of the rider's shadow.",B,yes,yes,72365d290664dafff7105102c3adb905adf783d801dfc510f6cd76881390dff7
pair-cag-041-p01,pair-cag-041,camera_vs_actor_goal,W9QkkriBjhY_23_0_03_16_863_to_0_03_31_511.mp4,3710,6,Egocentric vs. Allocentric Reference Frames,Human-Centric,True/False,"[True/False] From the camera's perspective, as the watercraft begins to turn, the distant red structure on the right moves from the edge of the frame towards the center.",False,4775,3,Action and Intent-Driven Spatial Reasoning,Human-Centric,Single-Choice,[Single-Choice] A hand appears on the right and grips a control. What is the immediate spatial result of this action? [Options] A) The watercraft comes to a stop. B) The watercraft begins turning to the left while maintaining speed. C) The watercraft accelerates while beginning a turn to the right. D) The watercraft reverses direction.,C,no,yes,0f4de9bb7e9b21bc3ccfc65a70eb0ccacc36d411c48e0f0acb7783b5856ad736
pair-cag-052-p01,pair-cag-052,camera_vs_actor_goal,N0b5SvS9k0E_66_0_12_19_238_to_0_12_50_803.mp4,1093,6,Egocentric vs. Allocentric Reference Frames,Human-Centric,Single-Choice,"[Single-Choice] As the camera pans to the left between 0:18 and 0:21, how does the position of the large distant lake change within the visual frame? [Options] A) It shifts from the center-left towards the right side of the frame. B) It shifts from the right side towards the left side of the frame. C) It disappears completely behind the mountains on the left. D) It remains stationary in the center.",B,1,3,Action and Intent-Driven Spatial Reasoning,Human-Centric,Single-Choice,"[Single-Choice] Based on the camera's panning movements between 0:15 and 0:25, what is the person's immediate spatial objective? [Options] A) To execute a series of sharp turns for practice. B) To find a specific landing spot on the ridge below. C) To locate another paraglider and fly towards it. D) To fly directly towards the large body of water.",B,yes,yes,056a143b8bae5d956559cd9f28e2e742ade1134fffb3799e385af5be5086d6ac
pair-cag-058-p01,pair-cag-058,camera_vs_actor_goal,k6I2H0q9XqY_17_0_08_09_722_to_0_09_19_792.mp4,6114,6,Egocentric vs. Allocentric Reference Frames,Human-Centric,Fill-in-the-Blank,"[Fill-in-the-Blank] When laying the cable in the row nearest the camera (around 0:36), the person is moving their hands and pressing the cable into the mat from their own ______ to their own ______. [Fill with left/right]",right; left,7068,3,Action and Intent-Driven Spatial Reasoning,Human-Centric,Single-Choice,[Single-Choice] The person alters the straight path of the red cable by creating a small U-shaped loop within a single row of the orange mat around the 0:50 mark. What is the most likely physical purpose of creating this specific shape? [Options] A) To mark the halfway point of the installation. B) To secure the cable more tightly into the mat's channel. C) To allow slack for future thermal expansion or contraction. D) To prepare the cable for a 90-degree turn into an adjacent row.,C,no,yes,10c1c3a71618f6fe4d49a5a9ec2663cfe0e524ee7b81dd206dd6e4cdeb27fdfd
pair-cag-067-p01,pair-cag-067,camera_vs_actor_goal,f7T2ae69WOQ_5_0_00_33_533_to_0_00_46_613.mp4,6488,6,Egocentric vs. Allocentric Reference Frames,Human-Centric,Fill-in-the-Blank,"[Fill-in-the-Blank] In the first two seconds of the video, the skateboarder jumps over a concrete ledge. From the camera's point of view, the skateboarder lands and immediately begins a wide turn to their ____.",right,8505,3,Action and Intent-Driven Spatial Reasoning,Human-Centric,Single-Choice,"[Single-Choice] The skateboarder attempts to slide along the metal rail. Based on their body's initial trajectory and momentum, what was the intended landing zone for a successful maneuver?
[Options]
A) On the grass to the left of the rail.
B) Back on the concrete where they started.
C) On the concrete path at the far end of the rail.
D) Directly on top of the wooden bench visible in the background.",C,no,yes,e735e323e47163644cca390cbc346d928e71bca0afa8622a40f89bd9627a8a9a
pair-cag-075-p01,pair-cag-075,camera_vs_actor_goal,jIPqc85BUP8_12_0_02_46_533_to_0_03_04_784.mp4,7333,6,Egocentric vs. Allocentric Reference Frames,Human-Centric,Single-Choice,"[Single-Choice] The rider starts by moving parallel to a building on their left. After completing the turn around the grassy median, where is that same building now located relative to the rider? [Options] A) Still on their left. B) Directly in front of them. C) Behind them and to their right. D) Directly on their right.",C,7334,3,Action and Intent-Driven Spatial Reasoning,Human-Centric,Single-Choice,"[Single-Choice] Based on the rider's continuous, flowing movements and path through the empty section of the parking lot, what is the most likely purpose of this ride? [Options] A) Searching for a specific parked car. B) Practicing maneuvering and carving turns. C) Rushing to the building entrance. D) Following the yellow line for a road test.",B,yes,yes,3d56de7afdb6d66f2e09e1e7b1c077b5f4472ef2954658c3797acdfbd3c5300f
