audit_item_id,source_sample_id,benchmark_index,video,category_id,category,scene_type,question_type
audit-0001,pc-0559,4677,V1vPefRqyY8_6_0_02_02_735_to_0_02_14_014.mp4,6,Egocentric vs. Allocentric Reference Frames,Human-Centric,True/False
audit-0002,pc-0501,23,OVgPWMhb1kA_48_0_08_44_690_to_0_09_03_668.mp4,6,Egocentric vs. Allocentric Reference Frames,Human-Centric,True/False
audit-0003,pc-0361,4592,U4dJVRiEsxw_60_0_08_48_861_to_0_09_02_675.mp4,4,Predictive and Counterfactual Spatial Reasoning,Object-Centric,Single-Choice
audit-0004,pc-0178,6527,pzYg5DfbxLs_53_0_07_55_678_to_0_08_10_765.mp4,2,Dynamic Spatial Relationships,Human-Centric,Fill-in-the-Blank
audit-0005,pc-0092,9235,f1YWduf7KqQ_26_0_05_12_445_to_0_05_25_224.mp4,1,Object Permanence and Occlusion Tracking,Human-Centric,True/False
audit-0006,pc-0571,5983,_qLAtYDDIsw_47_0_04_50_519_to_0_05_01_120.mp4,6,Egocentric vs. Allocentric Reference Frames,Human-Centric,Multiple-Select
audit-0007,pc-0141,3717,WO5pDwf515g_15_0_04_19_399_to_0_04_36_566.mp4,2,Dynamic Spatial Relationships,Object-Centric,Single-Choice
audit-0008,pc-0497,9737,lJ98a0Owtuo_34_0_06_48_174_to_0_06_59_652.mp4,5,Object Deformation and State Transition,Object-Centric,True/False
audit-0009,pc-0341,3563,UEvDE_9rlSY_18_0_03_30_233_to_0_03_42_533.mp4,4,Predictive and Counterfactual Spatial Reasoning,Human-Centric,Single-Choice
audit-0010,pc-0305,644,_FuEMlST0s8_90_0_14_57_997_to_0_15_09_376.mp4,4,Predictive and Counterfactual Spatial Reasoning,Human-Centric,Single-Choice
audit-0011,pc-0028,2444,I1zDGqSd1qY_38_0_09_02_275_to_0_09_16_155.mp4,1,Object Permanence and Occlusion Tracking,Object-Centric,True/False
audit-0012,pc-0287,8057,gabX04pMBQY_129_0_16_10_666_to_0_16_25_233.mp4,3,Action and Intent-Driven Spatial Reasoning,Human-Centric,Single-Choice
audit-0013,pc-0014,1156,NkFI7LBA8N4_22_0_03_36_382_to_0_03_48_127.mp4,1,Object Permanence and Occlusion Tracking,Object-Centric,True/False
audit-0014,pc-0327,2446,I2GVSghytCI_5_0_01_15_542_to_0_01_30_557.mp4,4,Predictive and Counterfactual Spatial Reasoning,Human-Centric,Single-Choice
audit-0015,pc-0173,5963,rbDgTJYSAXc_5_0_00_18_418_to_0_00_38_138.mp4,2,Dynamic Spatial Relationships,Human-Centric,Multiple-Select
audit-0016,pc-0443,5815,i_XP2x9DJ_Q_50_0_06_39_132_to_0_06_50_510.mp4,5,Object Deformation and State Transition,Human-Centric,Multiple-Select
audit-0017,pc-0405,472,QmHwLF0_P3g_13_0_03_21_117_to_0_04_06_454.mp4,5,Object Deformation and State Transition,Object-Centric,True/False
audit-0018,pc-0427,3650,VEv8V1CuIcE_30_0_05_50_550_to_0_06_16_042.mp4,5,Object Deformation and State Transition,Human-Centric,True/False
audit-0019,pc-0280,7378,j8SWLmK4lk8_60_0_12_05_633_to_0_12_19_266.mp4,3,Action and Intent-Driven Spatial Reasoning,Human-Centric,Single-Choice
audit-0020,pc-0415,1222,OjdG3oWYOKk_16_0_02_46_065_to_0_02_58_678.mp4,5,Object Deformation and State Transition,Object-Centric,True/False
audit-0021,pc-0579,6918,lMWYDpSZES4_16_0_02_33_553_to_0_02_43_663.mp4,6,Egocentric vs. Allocentric Reference Frames,Object-Centric,Fill-in-the-Blank
audit-0022,pc-0429,3898,ZOYahjTf2M4_5_0_00_47_799_to_0_01_03_640.mp4,5,Object Deformation and State Transition,Human-Centric,True/False
audit-0023,pc-0082,6897,lYicz5ag9kY_52_0_08_36_549_to_0_09_11_851.mp4,1,Object Permanence and Occlusion Tracking,Human-Centric,Fill-in-the-Blank
audit-0024,pc-0546,3591,UZkkRMISavc_16_0_02_07_961_to_0_02_18_638.mp4,6,Egocentric vs. Allocentric Reference Frames,Human-Centric,True/False
audit-0025,pc-0053,4293,JH6vsa0twcA_41_0_08_54_133_to_0_09_04_533.mp4,1,Object Permanence and Occlusion Tracking,Human-Centric,Single-Choice
audit-0026,pc-0589,7658,i0F4379JRnw_95_0_17_13_933_to_0_17_24_310.mp4,6,Egocentric vs. Allocentric Reference Frames,Human-Centric,Single-Choice
audit-0027,pc-0076,5932,ukNdVhFkoAU_9_0_01_05_665_to_0_01_39_065.mp4,1,Object Permanence and Occlusion Tracking,Human-Centric,Multiple-Select
audit-0028,pc-0236,2656,Fcg0bhOyQUI_48_0_06_21_339_to_0_06_43_444.mp4,3,Action and Intent-Driven Spatial Reasoning,Human-Centric,Single-Choice
audit-0029,pc-0191,8757,jrrAZ0wM0bM_1_0_00_05_438_to_0_00_45_211.mp4,2,Dynamic Spatial Relationships,Human-Centric,True/False
audit-0030,pc-0535,3083,Td-DsroeCWY_34_0_07_31_117_to_0_07_58_644.mp4,6,Egocentric vs. Allocentric Reference Frames,Human-Centric,Single-Choice
audit-0031,pc-0318,1940,FDMxA941dVE_64_0_08_46_292_to_0_08_56_869.mp4,4,Predictive and Counterfactual Spatial Reasoning,Human-Centric,Single-Choice
audit-0032,pc-0393,7913,h8gr-CQ6oMI_1_0_00_05_599_to_0_00_17_199.mp4,4,Predictive and Counterfactual Spatial Reasoning,Human-Centric,Single-Choice
audit-0033,pc-0167,5796,kH3yGROIOio_8_0_01_30_457_to_0_01_44_004.mp4,2,Dynamic Spatial Relationships,Object-Centric,Multiple-Select
audit-0034,pc-0597,9375,olfO0rPYVX0_27_0_05_19_886_to_0_05_43_976.mp4,6,Egocentric vs. Allocentric Reference Frames,Object-Centric,True/False
audit-0035,pc-0125,2005,SyuM7XAzEEM_1_0_00_28_833_to_0_00_43_625.mp4,2,Dynamic Spatial Relationships,Human-Centric,True/False
audit-0036,pc-0454,5976,qRtxlEZpev0_31_0_07_11_699_to_0_07_26_366.mp4,5,Object Deformation and State Transition,Human-Centric,Multiple-Select
