blind_proposal_id,audit_item_id,reference_question,generated_questions_json,judge_1_status,judge_1_closest,judge_1_reason_cn,judge_2_status,judge_2_closest,judge_2_reason_cn
judgment-0001,audit-0001,滑雪者是否完整滑过栏杆后落回雪面？,"[{""generated_id"": ""audit-0001-g01"", ""question"": ""[True/False] At the end of the video, after the fall, the snowboarder is positioned uphill and to the left of the blue rail they slid on at the beginning.""}]",partial,audit-0001-g01,生成题提到先滑蓝色栏杆且之后摔倒的位置，但未判断是否完整滑过并落回雪面。,absent,audit-0001-g01,"生成题 audit-0001-g01 询问：“[True/False] At the end of the video, after the fall, the snowboarder is positioned uphill and to the left of the blue rail they slid on at the beginning.”；参考题询问：“滑雪者是否完整滑过栏杆后落回雪面？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。"
judgment-0002,audit-0001,滑雪板相对栏杆的高度和方向如何变化？,"[{""generated_id"": ""audit-0001-g01"", ""question"": ""[True/False] At the end of the video, after the fall, the snowboarder is positioned uphill and to the left of the blue rail they slid on at the beginning.""}]",partial,audit-0001-g01,生成题涉及滑行后人与栏杆的最终相对位置，但没有追问滑雪板的高度和方向变化。,absent,audit-0001-g01,"生成题 audit-0001-g01 询问：“[True/False] At the end of the video, after the fall, the snowboarder is positioned uphill and to the left of the blue rail they slid on at the beginning.”；参考题询问：“滑雪板相对栏杆的高度和方向如何变化？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。"
judgment-0003,audit-0001,摔倒发生在越过栏杆之前还是之后？,"[{""generated_id"": ""audit-0001-g01"", ""question"": ""[True/False] At the end of the video, after the fall, the snowboarder is positioned uphill and to the left of the blue rail they slid on at the beginning.""}]",partial,audit-0001-g01,生成题交代栏杆滑行动作在开头且结尾已摔倒，能关联先后关系，但任务本身是判断摔倒后的空间位置。,absent,audit-0001-g01,"生成题 audit-0001-g01 询问：“[True/False] At the end of the video, after the fall, the snowboarder is positioned uphill and to the left of the blue rail they slid on at the beginning.”；参考题询问：“摔倒发生在越过栏杆之前还是之后？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。"
judgment-0004,audit-0001,滑雪者接近金属杆后做了什么？,"[{""generated_id"": ""audit-0001-g01"", ""question"": ""[True/False] At the end of the video, after the fall, the snowboarder is positioned uphill and to the left of the blue rail they slid on at the beginning.""}]",partial,audit-0001-g01,生成题说明接触蓝色栏杆后发生摔倒，却未完整询问接近栏杆后的动作序列。,absent,audit-0001-g01,"生成题 audit-0001-g01 询问：“[True/False] At the end of the video, after the fall, the snowboarder is positioned uphill and to the left of the blue rail they slid on at the beginning.”；参考题询问：“滑雪者接近金属杆后做了什么？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。"
judgment-0005,audit-0001,滑雪者越过杆后是否保持站立？,"[{""generated_id"": ""audit-0001-g01"", ""question"": ""[True/False] At the end of the video, after the fall, the snowboarder is positioned uphill and to the left of the blue rail they slid on at the beginning.""}]",direct,audit-0001-g01,生成题明确把栏杆滑行置于开头并说明随后摔倒，直接覆盖越杆后未保持站立这一核心事实。,partial,audit-0001-g01,"生成题 audit-0001-g01 询问：“[True/False] At the end of the video, after the fall, the snowboarder is positioned uphill and to the left of the blue rail they slid on at the beginning.”；参考题询问：“滑雪者越过杆后是否保持站立？”。二者有明确语义重合，但生成题只覆盖参考事实的一部分，或改问了不同参照、时间点、条件或细节，不能直接回答参考题。"
judgment-0007,audit-0002,男子的枪口主要朝向水面还是天空？,"[{""generated_id"": ""audit-0002-g01"", ""question"": ""[True/False] The single duck floating near the shore at the beginning of the video is located to the right of the main flock of ducks seen in the water later in the video.""}, {""generated_id"": ""audit-0002-g02"", ""question"": ""[Single-Choice] From the shooter's perspective, what is the spatial relationship between the targeted flying bird and the main flock of floating ducks at the exact moment the shot is fired? [Options] A) The flying bird is between the shooter and the flock. B) The flock is between the shooter and the flying bird. C) The flying bird is directly above the flock. D) The flying bird is to the far right of the flock.""}]",partial,audit-0002-g02,生成题涉及开枪瞬间被瞄准的飞鸟，间接对应枪口朝天，但没有直接比较枪口朝水面还是天空。,absent,audit-0002-g02,"生成题 audit-0002-g02 询问：“[Single-Choice] From the shooter's perspective, what is the spatial relationship between the targeted flying bird and the main flock of floating ducks at the exact moment the shot is fired? [Options] A) The flying bird is between the shooter and the flock. B) The flock is between the shooter and the flying bird. C) The flying bird is directly above the flock. D) The flying bird is to the far right of the flock.”；参考题询问：“男子的枪口主要朝向水面还是天空？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。"
judgment-0008,audit-0002,湖面上有几只水鸟同时可见？,"[{""generated_id"": ""audit-0002-g01"", ""question"": ""[True/False] The single duck floating near the shore at the beginning of the video is located to the right of the main flock of ducks seen in the water later in the video.""}, {""generated_id"": ""audit-0002-g02"", ""question"": ""[Single-Choice] From the shooter's perspective, what is the spatial relationship between the targeted flying bird and the main flock of floating ducks at the exact moment the shot is fired? [Options] A) The flying bird is between the shooter and the flock. B) The flock is between the shooter and the flying bird. C) The flying bird is directly above the flock. D) The flying bird is to the far right of the flock.""}]",partial,audit-0002-g01,生成题区分一只近岸鸭和后续主鸭群，触及数量结构但没有要求统计同时可见总数。,absent,audit-0002-g01,生成题 audit-0002-g01 询问：“[True/False] The single duck floating near the shore at the beginning of the video is located to the right of the main flock of ducks seen in the water later in the video.”；参考题询问：“湖面上有几只水鸟同时可见？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。
judgment-0009,audit-0002,水鸟群相对岸边如何移动？,"[{""generated_id"": ""audit-0002-g01"", ""question"": ""[True/False] The single duck floating near the shore at the beginning of the video is located to the right of the main flock of ducks seen in the water later in the video.""}, {""generated_id"": ""audit-0002-g02"", ""question"": ""[Single-Choice] From the shooter's perspective, what is the spatial relationship between the targeted flying bird and the main flock of floating ducks at the exact moment the shot is fired? [Options] A) The flying bird is between the shooter and the flock. B) The flock is between the shooter and the flying bird. C) The flying bird is directly above the flock. D) The flying bird is to the far right of the flock.""}]",partial,audit-0002-g01,生成题比较开头近岸单鸭与后来水中鸭群的位置，但没有判断鸭群相对岸边的移动方式。,absent,audit-0002-g01,生成题 audit-0002-g01 询问：“[True/False] The single duck floating near the shore at the beginning of the video is located to the right of the main flock of ducks seen in the water later in the video.”；参考题询问：“水鸟群相对岸边如何移动？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。
judgment-0013,audit-0003,镜头移动后哪栋房屋进入画面中央？,"[{""generated_id"": ""audit-0003-g01"", ""question"": ""[Single-Choice] Observing the general direction of the cloud movement across the sky, which area is most likely to be impacted by the rain curtain next? [Options] A) The mountain visible on the left side of the frame. B) The houses located to the far right of the yellow house. C) The yellow house in the center of the frame. D) The area from which the video is being filmed.""}, {""generated_id"": ""audit-0003-g02"", ""question"": ""[Single-Choice] Observing the general direction of the cloud movement across the sky, which area is most likely to be impacted by the rain curtain next? [Options] A) The mountain visible on the left side of the frame. B) The houses located to the far right of the yellow house. C) The yellow house in the center of the frame. D) The area from which the video is being filmed.""}, {""generated_id"": ""audit-0003-g03"", ""question"": ""[Single-Choice] Observing the general direction of the cloud movement across the sky, which area is most likely to be impacted by the rain curtain next? [Options] A) The mountain visible on the left side of the frame. B) The houses located to the far right of the yellow house. C) The yellow house in the center of the frame. D) The area from which the video is being filmed.""}]",partial,audit-0003-g01,生成题把黄色房屋描述为画面中央，触及中心房屋，但未覆盖镜头移动后进入中央的动态过程。,absent,audit-0003-g01,"生成题 audit-0003-g01 询问：“[Single-Choice] Observing the general direction of the cloud movement across the sky, which area is most likely to be impacted by the rain curtain next? [Options] A) The mountain visible on the left side of the frame. B) The houses located to the far right of the yellow house. C) The yellow house in the center of the frame. D) The area from which the video is being filmed.”；参考题询问：“镜头移动后哪栋房屋进入画面中央？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。"
judgment-0018,audit-0004,人先展示鱼还是先处理鱼钩？,"[{""generated_id"": ""audit-0004-g01"", ""question"": ""[Fill-in-the-Blank] As the person lifts the fish from the water into the kayak, the distance between the yellow bobber and the fish's mouth steadily ____.""}, {""generated_id"": ""audit-0004-g02"", ""question"": ""[Single-Choice] After bringing the fish into the kayak and steadying it, what is the person's most immediate action-oriented goal based on the spatial arrangement of their hands, the fish, and the fishing line? [Options] A) To take a photo of the fish. B) To release the fish back into the water. C) To remove the hook from the fish's mouth. D) To put the fish into a storage compartment.""}, {""generated_id"": ""audit-0004-g03"", ""question"": ""[True/False] From the camera's first-person perspective, the fishing rod remains positioned entirely on the left side of the kayak.""}]",partial,audit-0004-g02,生成题说明鱼入艇并稳住后目标是取下鱼钩，覆盖处理鱼钩阶段但没有比较展示鱼与处理鱼钩的先后。,absent,audit-0004-g02,"生成题 audit-0004-g02 询问：“[Single-Choice] After bringing the fish into the kayak and steadying it, what is the person's most immediate action-oriented goal based on the spatial arrangement of their hands, the fish, and the fishing line? [Options] A) To take a photo of the fish. B) To release the fish back into the water. C) To remove the hook from the fish's mouth. D) To put the fish into a storage compartment.”；参考题询问：“人先展示鱼还是先处理鱼钩？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。"
