unit_id,video,contact_sheet,category_id,category,scene_type,question_type,question,gold_answer,model_answer,control_type,control_question,control_gold_answer,control_model_answer,control_pass,primary_label,secondary_label,evidence_note,confidence,question_or_key_problem
error-0001,hTxS5J_ZaKQ_80_0_13_52_499_to_0_14_04_110.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0384.jpg,4,Predictive and Counterfactual Spatial Reasoning,Human-Centric,Fill-in-the-Blank,"[Fill-in-the-Blank] If the car had continued driving straight on its initial path instead of turning, the 'Baraka' entrance sign would have passed by on the car's ______ side.",left,right,action_event,[Single-Choice] What does the camera vehicle do after entering the grassy parking area? [Options] A) Stops at a gatehouse B) Backs into a garage C) Drives past parked RVs D) Crosses a railroad track,C,C) Drives past parked RVs,True,perspective_reference_frame,physical_prediction_counterfactual,车辆先直行接近 Baraka 标牌，随后向右转并从标牌右侧进入；回答把保持初始直线路径时标牌相对车身的左右侧关系判断反了。,high,no
error-0002,coriwTyx1Os_26_0_04_32_890_to_0_04_45_408.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0315.jpg,4,Predictive and Counterfactual Spatial Reasoning,Object-Centric,True/False,"[True/False] Assuming the flying object's path relative to the road remained the same, if the camera vehicle had been traveling in the left lane at the same speed, the object would have most likely passed harmlessly behind it.",False,True,action_event,"[Single-Choice] Before the dark object comes close, what is the camera vehicle doing? [Options] A) Merging into the left lane B) Driving straight in the right lane C) Pulling onto the shoulder D) Turning off the highway",B,B) Driving straight in the right lane,True,physical_prediction_counterfactual,spatiotemporal_grounding,黑色飞行物从道路右上方横穿至车辆前方；回答错误外推了车辆改在左车道后与飞行物轨迹的相交时序。20-frame full-duration sheet 对最近接时刻的分辨率有限。,medium,no
error-0003,smpHs3qH_dE_40_0_07_17_854_to_0_07_29_532.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0372.jpg,4,Predictive and Counterfactual Spatial Reasoning,Object-Centric,Single-Choice,"[Single-Choice] Based on the white van's consistent speed and trajectory, which object would its front bumper be aligned with approximately one second after the video ends? [Options] A) The front of the parked dark-colored SUV. B) The rear of the parked silver sedan. C) The storefront with the red sign in the distance. D) The second light pole on the sidewalk.",D,B) The rear of the parked silver sedan.,action_event,"[Single-Choice] Near the start, what is the camera doing as the street is viewed? [Options] A) Moving forward along the sidewalk B) Remaining fixed beside the curb C) Tilting upward toward the trees D) Crossing the street toward cars",A,B) Remaining fixed beside the curb,False,physical_prediction_counterfactual,perception_recognition,白色厢式车沿道路横向移动，问题要求将末段速度继续外推约一秒；回答将前保险杠的未来对齐目标判为银色轿车，而非第二根灯杆。control 未通过也提示局部运动识别可能参与。,low,no
error-0004,fRmaPWqByGw_25_0_05_06_560_to_0_05_41_199.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0469.jpg,5,Object Deformation and State Transition,Object-Centric,Fill-in-the-Blank,"[Fill-in-the-Blank] After the helicopter lands, the visual state of the main rotor blades transitions from a continuous transparent blur to ______, as they slow to a stop.",distinct individual blades,stillness,entity,[Single-Choice] Which surface is visible under the helicopter near its touchdown area? [Options] A) A paved road B) A sandy beach C) A snowy field D) A grassy field,D,D,True,benchmark_ambiguity,,序列显示直升机旋翼由高速模糊逐渐停止并可辨；模型回答 stillness 与题干“as they slow to a stop”在语义上相容，只因未复述“distinct individual blades”而被判错，答案接受范围存在实质问题。,high,yes
error-0005,GIZXp3foP9g_22_0_04_56_896_to_0_05_11_477.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0350.jpg,4,Predictive and Counterfactual Spatial Reasoning,Human-Centric,True/False,"[True/False] Based entirely on the difference in acceleration between the two motorcycles within the first two seconds of the race, it is predictable that the motorcycle in the right lane will maintain its lead.",False,True,simple_relation,"[Single-Choice] After the start, which direction do the motorcycles move across the view? [Options] A) From right to left B) Toward the camera C) From left to right D) Away from the camera",C,D,False,physical_prediction_counterfactual,perception_recognition,两辆摩托从起步到加速的相对位置持续变化，单凭前两秒差异不足以保证右道车辆维持领先；回答把短时加速度直接外推为持续领先。control 方向题未通过，低层运动方向识别也可能参与。,medium,no
error-0006,YjM0K5_4FHU_124_0_16_17_679_to_0_16_28_240.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0408.jpg,5,Object Deformation and State Transition,Human-Centric,True/False,[True/False] The car's front bumper becomes detached from the vehicle during the attempt to climb the hill.,False,True,action_event,[Single-Choice] Does the car drive across the flat snowy area before or after its front wheels rise onto the snowy bank? [Options] A) Before the wheels rise onto the bank B) After the wheels rise onto the bank C) While the wheels rise onto the bank D) No ordering is visible,A,B) After the wheels rise onto the bank,False,perception_recognition,spatiotemporal_grounding,车辆前部在雪坡上受压并有外观损伤，但全时段序列中保险杠始终连接车身，未见脱落；回答把碰撞/形变误识别为部件分离。,high,no
error-0007,myJ2l-o5rYQ_73_0_09_40_480_to_0_09_58_960.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0181.jpg,2,Dynamic Spatial Relationships,Human-Centric,Fill-in-the-Blank,"[Fill-in-the-Blank] In the final shot of the video taken by the man in the blue shirt, the puck travels across the floor, passing in front of the ______.",seated person,goal,simple_relation,[Single-Choice] Where is the large black equipment relative to the glass doorway? [Options] A) To the left of it B) Directly in front of it C) Directly behind it D) To the right of it,D,D) To the right of it,True,spatiotemporal_grounding,action_goal_binding,末段蓝衣男子击出冰球，冰球横穿地面朝右侧坐着的人及器材区域运动；回答将其经过的前景对象绑定为球门，混淆了末段轨迹与目标区域。,medium,no
error-0008,FDMxA941dVE_64_0_08_46_292_to_0_08_56_869.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0318.jpg,4,Predictive and Counterfactual Spatial Reasoning,Human-Centric,Single-Choice,"[Single-Choice] If the kitesurfer were to immediately make a sharp 90-degree turn to their left, what would be their new direction of travel relative to the landmarks? [Options] A) Directly towards the beach with palm trees. B) Parallel to the line of wooden posts, but moving away from the pier. C) Directly towards the large white dome. D) Towards the open sea, away from the shoreline.",D,"B) Parallel to the line of wooden posts, moving away from the pier.",simple_relation,[Single-Choice] Where is the row of wooden posts relative to the kitesurfer in the view? [Options] A) Farther out toward open sea B) Directly underneath the board C) Beside him at the same depth D) Farther back near the shoreline,D,D,True,perspective_reference_frame,physical_prediction_counterfactual,冲浪者沿岸线运动，题目要求从其自身左侧执行 90 度旋转并映射到海滩/海面地标；回答选择沿木桩方向，未正确完成主体参照系到场景参照系的转换。,medium,no
error-0009,Ul4Hy1EfPNQ_41_0_07_41_628_to_0_07_54_607.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0342.jpg,4,Predictive and Counterfactual Spatial Reasoning,Human-Centric,Single-Choice,"[Single-Choice] If the girl had pushed off with her feet with the same force but without first turning the handlebars, what would have been the tricycle's most likely initial path? [Options] A) It would have moved directly toward the camera. B) It would have moved backward away from the camera. C) It would have moved to the left, as it did in the video. D) It would have spun in a circle without moving forward.",C,B) It would have moved backward away from the camera.,simple_relation,[Single-Choice] Where is the tricycle's front wheel relative to its red rear basket? [Options] A) To the left of the basket B) To the right of the basket C) Directly above the basket D) Directly below the basket,B,D) Directly below the basket,False,benchmark_ambiguity,physical_prediction_counterfactual,序列中女孩多次调整车把且脚蹬/脚推状态不清；题目移除“先转车把”后，初始车轮方向和受力方向不足以唯一支持仍向左的 gold，反事实条件欠定。,high,yes
error-0010,j4jcztT_3O0_30_0_06_10_966_to_0_06_24_133.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0476.jpg,5,Object Deformation and State Transition,Human-Centric,Single-Choice,[Single-Choice] How does the spatial arrangement of the red leash change from the beginning to the end of the video? [Options] A) It starts stretched out and becomes coiled near the husky. B) It remains coiled in the same spot throughout the video. C) It starts partially coiled and ends up stretched out towards the right side of the scene. D) It starts partially coiled and ends up stretched out towards the left side of the scene.,D,C) It starts partially coiled and ends up stretched out towards the right side of the scene.,action_event,[Single-Choice] What is the dark dog doing when it moves near the red leash? [Options] A) Lying on the sand B) Jumping over branches C) Walking across the sand D) Digging in the sand,C,C) Walking across the sand,True,perception_recognition,spatiotemporal_grounding,红色牵引绳从早期局部盘绕变为末段跨越沙地、从哈士奇位置向画面左侧延伸；回答把最终延伸方向判为右侧，属于可见方向与状态变化识别错误。,medium,no
error-0011,TD27Rs6mTes_1_0_00_06_519_to_0_00_16_920.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0534.jpg,6,Egocentric vs. Allocentric Reference Frames,Human-Centric,Single-Choice,"[Single-Choice] If the woman in the black dress were to turn 180 degrees, what would be directly in her line of sight? [Options] A) The man carrying a basket on his shoulder. B) A stone fountain. C) The large arched doorway. D) The woman with her back to the camera.",C,A) The man carrying a basket on his shoulder.,simple_relation,[Single-Choice] Where in the image is the green double door relative to the woman in the black dress? [Options] A) To her right B) To her left C) Directly above her D) Directly below her,A,A) To her right,True,perspective_reference_frame,action_goal_binding,黑裙女子面对前景女子，拱形门位于其身后；题目要求将她旋转 180 度后沿其视线判断对象，回答仍绑定到侧后方搬篮男子。,high,no
error-0012,coriwTyx1Os_26_0_04_32_890_to_0_04_45_408.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0315.jpg,4,Predictive and Counterfactual Spatial Reasoning,Object-Centric,True/False,"[True/False] Assuming the flying object's path relative to the road remained the same, if the camera vehicle had been traveling in the left lane at the same speed, the object would have most likely passed harmlessly behind it.",False,True,action_event,"[Single-Choice] Before the dark object comes close, what is the camera vehicle doing? [Options] A) Merging into the left lane B) Driving straight in the right lane C) Pulling onto the shoulder D) Turning off the highway",B,B) Driving straight in the right lane,True,physical_prediction_counterfactual,spatiotemporal_grounding,黑色飞行物从道路右上方横穿至车辆前方；回答错误外推了车辆改在左车道后与飞行物轨迹的相交时序。20-frame full-duration sheet 对最近接时刻的分辨率有限。,medium,no
error-0013,XrwHnGrObHA_29_0_06_33_460_to_0_06_50_176.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0364.jpg,4,Predictive and Counterfactual Spatial Reasoning,Object-Centric,Single-Choice,"[Single-Choice] At 0:03, a fish is swimming from the upper right towards the lower left. Given its trajectory at that moment, if it had continued in a perfectly straight line, where would it have most likely exited the frame? [Options] A) The bottom edge of the frame. B) The left edge of the frame. C) The top edge of the frame. D) It would have remained in the center.",A,B) The left edge of the frame.,action_event,[Single-Choice] Which event occurs before the fish becomes clearly visible in the water? [Options] A) The fish passes close to the lower edge. B) Two fish overlap near the center. C) Only water and a dark diagonal reflection are visible. D) The fish touches the left border.,C,C) Only water and a dark diagonal reflection are visible.,True,physical_prediction_counterfactual,spatiotemporal_grounding,鱼在约 0:03 后由右上向左下移动，问题要求延长瞬时轨迹到画面边界；回答选择左边缘而非底边，反映了对斜率和未来交点的错误外推。,medium,no
error-0014,Zj70SP5RI7U_11_0_01_16_376_to_0_01_31_157.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0159.jpg,2,Dynamic Spatial Relationships,Human-Centric,True/False,"[True/False] During the trick, the skateboard completes a full 360-degree horizontal rotation before the person's feet land back on it.",True,False,simple_relation,[Single-Choice] Where is the person relative to the tall buildings in the background? [Options] A) In front of the buildings B) Behind the buildings C) On top of the buildings D) Inside the buildings,A,A) In front of the buildings,True,spatiotemporal_grounding,perception_recognition,题目要求累计判断滑板在整段动作中的水平旋转角度，单帧不能直接给出 360 度完成情况；回答否定完整旋转，主要缺口在跨帧跟踪板面朝向。20-frame full-duration sheet 限制了精确角度复核。,low,no
error-0015,Z0lkr3AQ8Xk_21_0_02_21_820_to_0_02_33_070.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0249.jpg,3,Action and Intent-Driven Spatial Reasoning,Human-Centric,Single-Choice,"[Single-Choice] Based on the silver car's final trajectory after swerving across the lane divider, what was its immediate spatial objective?
[Options]
A) To make a U-turn.
B) To pull over on the left shoulder.
C) To turn right at the upcoming intersection.
D) To overtake the black car.",A,C) To turn right at the upcoming intersection.,action_event,"[Single-Choice] Near the start of the event, what is the black car doing? [Options] A) Turning left B) Stopping at the roadside C) Driving straight ahead D) Reversing backward",C,C) Driving straight ahead,True,action_goal_binding,benchmark_ambiguity,银色车横跨分道线并改变航向，回答把该机动的目标绑定为前方路口右转，而 gold 解释为掉头；仅凭截取轨迹难以直接观察驾驶意图，目标表述存在一定推断性。,low,yes
error-0016,EEDc5gDPPdE_10_0_01_11_538_to_0_01_22_449.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0121.jpg,2,Dynamic Spatial Relationships,Human-Centric,True/False,"[True/False] As the two individuals walk along the shoreline, the tall, multi-story building in the background appears to move from the right side of the camera's view towards the center.",False,True,simple_relation,[Single-Choice] Where is the long pier relative to the two beachgoers? [Options] A) Behind them to the viewer's right B) Behind them to the viewer's left C) In front of them to the viewer's right D) Between them in the foreground,A,[Answer] A) Behind them to the viewer's right,True,spatiotemporal_grounding,perspective_reference_frame,两人沿海岸行走时高层建筑在序列中基本位于画面中央偏左，并未从右侧移到中央；回答错误概括了背景地标随移动相机产生的相对位移。,high,no
error-0017,smpHs3qH_dE_40_0_07_17_854_to_0_07_29_532.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0372.jpg,4,Predictive and Counterfactual Spatial Reasoning,Object-Centric,Single-Choice,"[Single-Choice] Based on the white van's consistent speed and trajectory, which object would its front bumper be aligned with approximately one second after the video ends? [Options] A) The front of the parked dark-colored SUV. B) The rear of the parked silver sedan. C) The storefront with the red sign in the distance. D) The second light pole on the sidewalk.",D,C,action_event,"[Single-Choice] Near the start, what is the camera doing as the street is viewed? [Options] A) Moving forward along the sidewalk B) Remaining fixed beside the curb C) Tilting upward toward the trees D) Crossing the street toward cars",A,A) Moving forward along the sidewalk,True,physical_prediction_counterfactual,spatiotemporal_grounding,白色厢式车沿道路横向经过多个路边参照物，题目要求继续外推末段轨迹；回答选择远处红色招牌而非第二根灯杆，混淆未来对齐位置。,low,no
error-0018,cvHz5JgkzlM_41_0_06_01_094_to_0_06_15_742.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0325.jpg,4,Predictive and Counterfactual Spatial Reasoning,Human-Centric,Single-Choice,"[Single-Choice] If the car had continued its trajectory and rotation from the point seen at the 0:07 mark without the driver correcting its path, which object would it have most likely collided with? [Options] A) The parked semi-trailer on the right. B) The green dumpsters. C) The white truck that briefly enters from the left. D) The loading dock doors of the main building.",D,A) The parked semi-trailer on the right.,entity,[Single-Choice] Which upright object is visible near the edge of the paved lot? [Options] A) Orange traffic cones B) Yellow protective bollards C) A bicycle rack D) A red fire hydrant,B,"B) Yellow protective bollards
B) Yellow protective bollards",True,physical_prediction_counterfactual,spatiotemporal_grounding,白车在场地内持续转向并最终朝装卸门方向运动；回答将不修正轨迹时的碰撞目标外推为右侧半挂车，未延续末段旋转和航向。,high,no
