sample_id,video
audit-0001,V1vPefRqyY8_6_0_02_02_735_to_0_02_14_014.mp4
audit-0002,OVgPWMhb1kA_48_0_08_44_690_to_0_09_03_668.mp4
audit-0003,U4dJVRiEsxw_60_0_08_48_861_to_0_09_02_675.mp4
audit-0004,pzYg5DfbxLs_53_0_07_55_678_to_0_08_10_765.mp4
audit-0005,f1YWduf7KqQ_26_0_05_12_445_to_0_05_25_224.mp4
audit-0006,_qLAtYDDIsw_47_0_04_50_519_to_0_05_01_120.mp4
audit-0007,WO5pDwf515g_15_0_04_19_399_to_0_04_36_566.mp4
audit-0008,lJ98a0Owtuo_34_0_06_48_174_to_0_06_59_652.mp4
audit-0009,UEvDE_9rlSY_18_0_03_30_233_to_0_03_42_533.mp4
audit-0010,_FuEMlST0s8_90_0_14_57_997_to_0_15_09_376.mp4
audit-0011,I1zDGqSd1qY_38_0_09_02_275_to_0_09_16_155.mp4
audit-0012,gabX04pMBQY_129_0_16_10_666_to_0_16_25_233.mp4
audit-0013,NkFI7LBA8N4_22_0_03_36_382_to_0_03_48_127.mp4
audit-0014,I2GVSghytCI_5_0_01_15_542_to_0_01_30_557.mp4
audit-0016,i_XP2x9DJ_Q_50_0_06_39_132_to_0_06_50_510.mp4
audit-0018,VEv8V1CuIcE_30_0_05_50_550_to_0_06_16_042.mp4
audit-0019,j8SWLmK4lk8_60_0_12_05_633_to_0_12_19_266.mp4
audit-0020,OjdG3oWYOKk_16_0_02_46_065_to_0_02_58_678.mp4
audit-0021,lMWYDpSZES4_16_0_02_33_553_to_0_02_43_663.mp4
audit-0022,ZOYahjTf2M4_5_0_00_47_799_to_0_01_03_640.mp4
audit-0023,lYicz5ag9kY_52_0_08_36_549_to_0_09_11_851.mp4
audit-0024,UZkkRMISavc_16_0_02_07_961_to_0_02_18_638.mp4
audit-0025,JH6vsa0twcA_41_0_08_54_133_to_0_09_04_533.mp4
audit-0026,i0F4379JRnw_95_0_17_13_933_to_0_17_24_310.mp4
audit-0027,ukNdVhFkoAU_9_0_01_05_665_to_0_01_39_065.mp4
audit-0029,jrrAZ0wM0bM_1_0_00_05_438_to_0_00_45_211.mp4
audit-0030,Td-DsroeCWY_34_0_07_31_117_to_0_07_58_644.mp4
audit-0031,FDMxA941dVE_64_0_08_46_292_to_0_08_56_869.mp4
audit-0032,h8gr-CQ6oMI_1_0_00_05_599_to_0_00_17_199.mp4
audit-0035,SyuM7XAzEEM_1_0_00_28_833_to_0_00_43_625.mp4
audit-0036,qRtxlEZpev0_31_0_07_11_699_to_0_07_26_366.mp4
audit-0037,FeXKZzWrS34_8_0_01_12_038_to_0_01_25_185.mp4
audit-0038,iszhz9KmI64_74_0_11_06_166_to_0_11_18_791.mp4
audit-0040,TanhzwLYs6E_2_0_01_59_452_to_0_02_13_033.mp4
audit-0041,DDlrlxASBOI_30_0_06_03_963_to_0_06_15_475.mp4
audit-0043,k-IbB7jAw9g_114_0_32_35_720_to_0_33_11_089.mp4
audit-0044,me0ENrUEpE4_40_0_07_11_120_to_0_07_29_319.mp4
audit-0046,ERekgrM-aaA_46_0_11_59_996_to_0_12_34_577.mp4
audit-0047,p1tQXuvT0Fg_12_0_05_15_399_to_0_05_27_600.mp4
audit-0048,lxl0FAwu6Rw_4_0_00_22_633_to_0_00_56_566.mp4
audit-0049,lVoflPzlZRU_27_0_09_08_514_to_0_09_35_675.mp4
audit-0050,fWEYTSaHq4U_10_0_01_52_879_to_0_02_05_625.mp4
audit-0051,g9jDgXHane4_52_0_12_07_527_to_0_12_18_004.mp4
audit-0052,_yrxbcB4CwA_104_0_16_52_779_to_0_17_05_759.mp4
audit-0053,nIzM3o__gsw_11_0_02_42_833_to_0_02_55_733.mp4
audit-0054,RhqY2FLyVPE_4_0_00_16_116_to_0_00_28_795.mp4
audit-0055,Yd8OlFUVe5I_39_0_06_58_240_to_0_07_08_240.mp4
audit-0056,oozvOIje5Rg_138_0_14_51_279_to_0_15_04_159.mp4
audit-0058,aTOCXYLj5HQ_17_0_03_01_806_to_0_03_16_654.mp4
audit-0059,ftZEfZ7hbJc_3_0_01_19_446_to_0_01_46_306.mp4
audit-0060,Vhq-OykV6nQ_16_0_02_19_535_to_0_02_30_647.mp4
audit-0061,W2pq8aabi2U_31_0_09_55_000_to_0_11_04_166.mp4
audit-0062,SmE_DqZ64n8_99_0_13_05_993_to_0_13_19_882.mp4
audit-0063,G3EJRaUHlbk_26_0_02_43_955_to_0_02_54_674.mp4
audit-0064,6MyqiFNiS-g_27_0_04_26_367_to_0_04_39_246.mp4
audit-0065,MaKSkIbHIxM_64_0_12_04_457_to_0_12_22_141.mp4
audit-0066,LSlhkLImq8U_2_0_01_22_449_to_0_02_30_283.mp4
