blind_proposal_id,audit_item_id,reference_question,generated_questions_json
judgment-0001,audit-0001,滑雪者是否完整滑过栏杆后落回雪面？,"[{""generated_id"": ""audit-0001-g01"", ""question"": ""[True/False] At the end of the video, after the fall, the snowboarder is positioned uphill and to the left of the blue rail they slid on at the beginning.""}]"
judgment-0002,audit-0001,滑雪板相对栏杆的高度和方向如何变化？,"[{""generated_id"": ""audit-0001-g01"", ""question"": ""[True/False] At the end of the video, after the fall, the snowboarder is positioned uphill and to the left of the blue rail they slid on at the beginning.""}]"
judgment-0003,audit-0001,摔倒发生在越过栏杆之前还是之后？,"[{""generated_id"": ""audit-0001-g01"", ""question"": ""[True/False] At the end of the video, after the fall, the snowboarder is positioned uphill and to the left of the blue rail they slid on at the beginning.""}]"
judgment-0004,audit-0001,滑雪者接近金属杆后做了什么？,"[{""generated_id"": ""audit-0001-g01"", ""question"": ""[True/False] At the end of the video, after the fall, the snowboarder is positioned uphill and to the left of the blue rail they slid on at the beginning.""}]"
judgment-0005,audit-0001,滑雪者越过杆后是否保持站立？,"[{""generated_id"": ""audit-0001-g01"", ""question"": ""[True/False] At the end of the video, after the fall, the snowboarder is positioned uphill and to the left of the blue rail they slid on at the beginning.""}]"
judgment-0006,audit-0001,滑雪者最后朝雪坡的哪个方向滑走？,"[{""generated_id"": ""audit-0001-g01"", ""question"": ""[True/False] At the end of the video, after the fall, the snowboarder is positioned uphill and to the left of the blue rail they slid on at the beginning.""}]"
judgment-0007,audit-0002,男子的枪口主要朝向水面还是天空？,"[{""generated_id"": ""audit-0002-g01"", ""question"": ""[True/False] The single duck floating near the shore at the beginning of the video is located to the right of the main flock of ducks seen in the water later in the video.""}, {""generated_id"": ""audit-0002-g02"", ""question"": ""[Single-Choice] From the shooter's perspective, what is the spatial relationship between the targeted flying bird and the main flock of floating ducks at the exact moment the shot is fired? [Options] A) The flying bird is between the shooter and the flock. B) The flock is between the shooter and the flying bird. C) The flying bird is directly above the flock. D) The flying bird is to the far right of the flock.""}]"
judgment-0008,audit-0002,湖面上有几只水鸟同时可见？,"[{""generated_id"": ""audit-0002-g01"", ""question"": ""[True/False] The single duck floating near the shore at the beginning of the video is located to the right of the main flock of ducks seen in the water later in the video.""}, {""generated_id"": ""audit-0002-g02"", ""question"": ""[Single-Choice] From the shooter's perspective, what is the spatial relationship between the targeted flying bird and the main flock of floating ducks at the exact moment the shot is fired? [Options] A) The flying bird is between the shooter and the flock. B) The flock is between the shooter and the flying bird. C) The flying bird is directly above the flock. D) The flying bird is to the far right of the flock.""}]"
judgment-0009,audit-0002,水鸟群相对岸边如何移动？,"[{""generated_id"": ""audit-0002-g01"", ""question"": ""[True/False] The single duck floating near the shore at the beginning of the video is located to the right of the main flock of ducks seen in the water later in the video.""}, {""generated_id"": ""audit-0002-g02"", ""question"": ""[Single-Choice] From the shooter's perspective, what is the spatial relationship between the targeted flying bird and the main flock of floating ducks at the exact moment the shot is fired? [Options] A) The flying bird is between the shooter and the flock. B) The flock is between the shooter and the flying bird. C) The flying bird is directly above the flock. D) The flying bird is to the far right of the flock.""}]"
judgment-0010,audit-0002,镜头转向湖面后，水鸟是否始终留在水面上？,"[{""generated_id"": ""audit-0002-g01"", ""question"": ""[True/False] The single duck floating near the shore at the beginning of the video is located to the right of the main flock of ducks seen in the water later in the video.""}, {""generated_id"": ""audit-0002-g02"", ""question"": ""[Single-Choice] From the shooter's perspective, what is the spatial relationship between the targeted flying bird and the main flock of floating ducks at the exact moment the shot is fired? [Options] A) The flying bird is between the shooter and the flock. B) The flock is between the shooter and the flying bird. C) The flying bird is directly above the flock. D) The flying bird is to the far right of the flock.""}]"
