scope_item_id,scope_status,primary_dimension,secondary_dimensions,confidence,reason_cn
scope-0301,supporting_operation,C3_action_intent,C2_dynamic_spatial,medium,询问车辆转弯与驾驶员转动方向盘的行动配合时点
scope-0302,directly_in_scope,C5_deformation_state,C3_action_intent,high,询问触碰操作是否导致灯光状态改变
scope-0303,outside_scope,NONE,,high,只比较绳结演示与船上讲解的展示顺序
scope-0304,directly_in_scope,C2_dynamic_spatial,,medium,需要跨时间判断鞋子相对双臂的位置是否稳定
scope-0305,directly_in_scope,C6_reference_frame,C2_dynamic_spatial,high,询问海鸟靠近船时相对相机的距离变化
scope-0306,directly_in_scope,C3_action_intent,,high,直接询问男子操作轮毂的目标
scope-0307,directly_in_scope,C1_occlusion_permanence,,medium,需要跨镜头判断包装盒是否持续完整可见
scope-0308,outside_scope,NONE,,high,只比较空海滩与人物面部的镜头展示顺序
scope-0309,supporting_operation,C3_action_intent,,medium,追踪浪破碎后冲浪者是否维持站立姿态
scope-0310,directly_in_scope,C2_dynamic_spatial,,high,询问海鸟经过船侧时的飞行方向
scope-0311,directly_in_scope,C2_dynamic_spatial,,high,询问车辆下坡进入停车区后的行驶方向变化
scope-0312,directly_in_scope,C5_deformation_state,,high,询问绳索穿过装置后的形状变化
scope-0313,directly_in_scope,C5_deformation_state,,high,询问操作后绳索是否形成线圈结构
scope-0314,directly_in_scope,C6_reference_frame,C2_dynamic_spatial,high,询问波浪在画面参考系中的推进方向
scope-0315,supporting_operation,C3_action_intent,,medium,询问下蹲与翻滚两个身体动作的先后关系
scope-0316,directly_in_scope,C5_deformation_state,,high,询问加工导致的木杆表面形状变化
scope-0317,directly_in_scope,C6_reference_frame,C2_dynamic_spatial,high,采用车内视角判断白车经过时的运动方向
scope-0318,directly_in_scope,C6_reference_frame,,high,询问男子转头后相对相机的朝向变化
scope-0319,outside_scope,NONE,,high,核心是识别滑雪者接近金属杆后的动作而未问空间目标
scope-0320,directly_in_scope,C1_occlusion_permanence,,high,需要追踪冲浪者进入浪管后是否重新清晰出现
scope-0321,supporting_operation,C2_dynamic_spatial,,high,询问吸音板与音箱的静态交替分布
scope-0322,directly_in_scope,C2_dynamic_spatial,,high,询问鱼相对码头边缘的位置变化
scope-0323,outside_scope,NONE,,high,核心是进食后的面部反应而非空间能力
scope-0324,supporting_operation,C1_occlusion_permanence,,medium,询问灌木与房屋的局部遮挡但不要求跨遮挡追踪
scope-0325,directly_in_scope,C2_dynamic_spatial,,high,询问飞行器从地面起飞后的高度变化
scope-0326,supporting_operation,C5_deformation_state,C3_action_intent,medium,询问踏板展开与触碰后门两个操作阶段的顺序
scope-0327,directly_in_scope,C6_reference_frame,C2_dynamic_spatial,high,在俯视参考系判断道路相对溪流的弯曲方向
scope-0328,directly_in_scope,C6_reference_frame,C2_dynamic_spatial,high,询问前进时迎面行人与相机的距离变化
scope-0329,outside_scope,NONE,,high,只识别男子移动时持续手持的物体
scope-0330,supporting_operation,C5_deformation_state,C3_action_intent,medium,询问拆包装与取电池两个操作阶段的顺序
scope-0331,directly_in_scope,C5_deformation_state,,high,直接询问车门由关闭到打开的状态转变
scope-0332,directly_in_scope,C3_action_intent,,high,直接询问拉动绳索这一行动的目标
scope-0333,supporting_operation,C2_dynamic_spatial,,high,询问越野车相对两侧车辆的静态位置
scope-0334,supporting_operation,C2_dynamic_spatial,,medium,询问行驶路径中两类道路标线的出现顺序
scope-0335,outside_scope,NONE,,high,核心是识别人物手持物体
scope-0336,directly_in_scope,C2_dynamic_spatial,,high,询问白车最终驶离的方向
scope-0337,directly_in_scope,C2_dynamic_spatial,,medium,询问男子沿走廊经过两个空间地标的顺序
scope-0338,directly_in_scope,C5_deformation_state,,high,比较加工与未加工木杆的形状状态
scope-0339,directly_in_scope,C2_dynamic_spatial,,high,询问摆动吊饰的运动方向是否改变
scope-0340,directly_in_scope,C6_reference_frame,C2_dynamic_spatial,high,询问相机转向自拍时果岭从画面移出的方向
scope-0341,directly_in_scope,C2_dynamic_spatial,,high,询问车辆相对帐篷的运动关系
scope-0342,directly_in_scope,C1_occlusion_permanence,,high,需要追踪住宅被前景树木短暂遮挡的状态
scope-0343,directly_in_scope,C5_deformation_state,C3_action_intent,high,询问金属条由插入机器到被弯曲的加工顺序
scope-0344,directly_in_scope,C3_action_intent,C6_reference_frame,high,询问受访者抬手指向的空间方向
scope-0345,supporting_operation,C2_dynamic_spatial,,high,询问驳船与对岸建筑的静态前后关系
scope-0346,directly_in_scope,C3_action_intent,C2_dynamic_spatial,medium,询问男子转身所选择的出口方向
scope-0347,directly_in_scope,C3_action_intent,C6_reference_frame,high,询问讲解手势指向的驾驶控制区域
