model,panel_index,benchmark_index,video,source_sample_id,contact_sheet,category_id,category,scene_type,question_type,question,gold_answer,model_answer,model_raw_response,control_type,control_subtype,control_question,control_gold_answer,control_model_answer,control_pass,stratum_population_errors,stratum_sample_errors,inclusion_probability,analysis_weight,source_original_result,source_control_result,unit_id
InternVL3-2B,182,6321,hTxS5J_ZaKQ_80_0_13_52_499_to_0_14_04_110.mp4,pc-0384,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0384.jpg,4,Predictive and Counterfactual Spatial Reasoning,Human-Centric,Fill-in-the-Blank,"[Fill-in-the-Blank] If the car had continued driving straight on its initial path instead of turning, the 'Baraka' entrance sign would have passed by on the car's ______ side.",left,right,"<answer>right</answer>

`</answer>`",action_event,action_recognition,[Single-Choice] What does the camera vehicle do after entering the grassy parking area? [Options] A) Stops at a gatehouse B) Backs into a garage C) Drives past parked RVs D) Crosses a railroad track,C,C) Drives past parked RVs,True,23,19,0.8260869565217391,1.2105263157894737,archived_workspace/experiments/perception_control/results/provisional_original_200_20260813/internvl3_2b/results_internvl3-2b_20260813_005643.json,archived_workspace/experiments/perception_control/results/provisional_eval_200_20260813/internvl3_2b/results_internvl3-2b_20260813_004116.json,error-0001
Qwen2.5-VL-7B-Instruct,22,1466,coriwTyx1Os_26_0_04_32_890_to_0_04_45_408.mp4,pc-0315,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0315.jpg,4,Predictive and Counterfactual Spatial Reasoning,Object-Centric,True/False,"[True/False] Assuming the flying object's path relative to the road remained the same, if the camera vehicle had been traveling in the left lane at the same speed, the object would have most likely passed harmlessly behind it.",False,True,<answer>True</answer>,action_event,action_recognition,"[Single-Choice] Before the dark object comes close, what is the camera vehicle doing? [Options] A) Merging into the left lane B) Driving straight in the right lane C) Pulling onto the shoulder D) Turning off the highway",B,B) Driving straight in the right lane,True,21,17,0.8095238095238095,1.2352941176470589,archived_workspace/experiments/perception_control/results/provisional_original_200_20260813/qwen25vl7b/results_qwen2.5-vl-7b_20260813_012745.json,archived_workspace/experiments/perception_control/results/provisional_eval_200_20260813/qwen25vl7b/results_qwen2.5-vl-7b_20260813_005620.json,error-0002
Qwen2.5-VL-7B-Instruct,156,5307,smpHs3qH_dE_40_0_07_17_854_to_0_07_29_532.mp4,pc-0372,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0372.jpg,4,Predictive and Counterfactual Spatial Reasoning,Object-Centric,Single-Choice,"[Single-Choice] Based on the white van's consistent speed and trajectory, which object would its front bumper be aligned with approximately one second after the video ends? [Options] A) The front of the parked dark-colored SUV. B) The rear of the parked silver sedan. C) The storefront with the red sign in the distance. D) The second light pole on the sidewalk.",D,B) The rear of the parked silver sedan.,<answer>B) The rear of the parked silver sedan.</answer>,action_event,action_recognition,"[Single-Choice] Near the start, what is the camera doing as the street is viewed? [Options] A) Moving forward along the sidewalk B) Remaining fixed beside the curb C) Tilting upward toward the trees D) Crossing the street toward cars",A,B) Remaining fixed beside the curb,False,21,17,0.8095238095238095,1.2352941176470589,archived_workspace/experiments/perception_control/results/provisional_original_200_20260813/qwen25vl7b/results_qwen2.5-vl-7b_20260813_012745.json,archived_workspace/experiments/perception_control/results/provisional_eval_200_20260813/qwen25vl7b/results_qwen2.5-vl-7b_20260813_005620.json,error-0003
InternVL3-2B,30,6454,fRmaPWqByGw_25_0_05_06_560_to_0_05_41_199.mp4,pc-0469,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0469.jpg,5,Object Deformation and State Transition,Object-Centric,Fill-in-the-Blank,"[Fill-in-the-Blank] After the helicopter lands, the visual state of the main rotor blades transitions from a continuous transparent blur to ______, as they slow to a stop.",distinct individual blades,stillness,"<answer>stillness</answer>

The main rotor blades transition from a continuous transparent blur to stillness as they slow to a stop after the helicopter lands.",entity,object_actor_presence,[Single-Choice] Which surface is visible under the helicopter near its touchdown area? [Options] A) A paved road B) A sandy beach C) A snowy field D) A grassy field,D,D,True,19,16,0.8421052631578947,1.1875,archived_workspace/experiments/perception_control/results/provisional_original_200_20260813/internvl3_2b/results_internvl3-2b_20260813_005643.json,archived_workspace/experiments/perception_control/results/provisional_eval_200_20260813/internvl3_2b/results_internvl3-2b_20260813_004116.json,error-0004
InternVL3-2B,200,4042,GIZXp3foP9g_22_0_04_56_896_to_0_05_11_477.mp4,pc-0350,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0350.jpg,4,Predictive and Counterfactual Spatial Reasoning,Human-Centric,True/False,"[True/False] Based entirely on the difference in acceleration between the two motorcycles within the first two seconds of the race, it is predictable that the motorcycle in the right lane will maintain its lead.",False,True,<answer>True</answer>,simple_relation,orientation,"[Single-Choice] After the start, which direction do the motorcycles move across the view? [Options] A) From right to left B) Toward the camera C) From left to right D) Away from the camera",C,D,False,23,19,0.8260869565217391,1.2105263157894737,archived_workspace/experiments/perception_control/results/provisional_original_200_20260813/internvl3_2b/results_internvl3-2b_20260813_005643.json,archived_workspace/experiments/perception_control/results/provisional_eval_200_20260813/internvl3_2b/results_internvl3-2b_20260813_004116.json,error-0005
Qwen3-VL-8B-Instruct,77,613,YjM0K5_4FHU_124_0_16_17_679_to_0_16_28_240.mp4,pc-0408,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0408.jpg,5,Object Deformation and State Transition,Human-Centric,True/False,[True/False] The car's front bumper becomes detached from the vehicle during the attempt to climb the hill.,False,True,<answer>True</answer>,action_event,temporal_order,[Single-Choice] Does the car drive across the flat snowy area before or after its front wheels rise onto the snowy bank? [Options] A) Before the wheels rise onto the bank B) After the wheels rise onto the bank C) While the wheels rise onto the bank D) No ordering is visible,A,B) After the wheels rise onto the bank,False,14,12,0.8571428571428571,1.1666666666666667,archived_workspace/experiments/perception_control/results/provisional_original_200_20260813/qwen3vl8b/results_qwen3-vl-8b_20260813_011246.json,archived_workspace/experiments/perception_control/results/provisional_eval_200_20260813/qwen3vl8b/results_qwen3-vl-8b_20260813_004934.json,error-0006
Qwen3-VL-8B-Instruct,64,6782,myJ2l-o5rYQ_73_0_09_40_480_to_0_09_58_960.mp4,pc-0181,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0181.jpg,2,Dynamic Spatial Relationships,Human-Centric,Fill-in-the-Blank,"[Fill-in-the-Blank] In the final shot of the video taken by the man in the blue shirt, the puck travels across the floor, passing in front of the ______.",seated person,goal,<answer>goal</answer>,simple_relation,simple_spatial_relation,[Single-Choice] Where is the large black equipment relative to the glass doorway? [Options] A) To the left of it B) Directly in front of it C) Directly behind it D) To the right of it,D,D) To the right of it,True,21,19,0.9047619047619048,1.1052631578947367,archived_workspace/experiments/perception_control/results/provisional_original_200_20260813/qwen3vl8b/results_qwen3-vl-8b_20260813_011246.json,archived_workspace/experiments/perception_control/results/provisional_eval_200_20260813/qwen3vl8b/results_qwen3-vl-8b_20260813_004934.json,error-0007
Qwen2.5-VL-7B-Instruct,97,7402,j4jcztT_3O0_30_0_06_10_966_to_0_06_24_133.mp4,pc-0476,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0476.jpg,5,Object Deformation and State Transition,Human-Centric,Single-Choice,[Single-Choice] How does the spatial arrangement of the red leash change from the beginning to the end of the video? [Options] A) It starts stretched out and becomes coiled near the husky. B) It remains coiled in the same spot throughout the video. C) It starts partially coiled and ends up stretched out towards the right side of the scene. D) It starts partially coiled and ends up stretched out towards the left side of the scene.,D,C) It starts partially coiled and ends up stretched out towards the right side of the scene.,<answer>C) It starts partially coiled and ends up stretched out towards the right side of the scene.</answer>,action_event,action_recognition,[Single-Choice] What is the dark dog doing when it moves near the red leash? [Options] A) Lying on the sand B) Jumping over branches C) Walking across the sand D) Digging in the sand,C,C) Walking across the sand,True,20,16,0.8,1.25,archived_workspace/experiments/perception_control/results/provisional_original_200_20260813/qwen25vl7b/results_qwen2.5-vl-7b_20260813_012745.json,archived_workspace/experiments/perception_control/results/provisional_eval_200_20260813/qwen25vl7b/results_qwen2.5-vl-7b_20260813_005620.json,error-0010
Qwen2.5-VL-7B-Instruct,175,3033,TD27Rs6mTes_1_0_00_06_519_to_0_00_16_920.mp4,pc-0534,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0534.jpg,6,Egocentric vs. Allocentric Reference Frames,Human-Centric,Single-Choice,"[Single-Choice] If the woman in the black dress were to turn 180 degrees, what would be directly in her line of sight? [Options] A) The man carrying a basket on his shoulder. B) A stone fountain. C) The large arched doorway. D) The woman with her back to the camera.",C,A) The man carrying a basket on his shoulder.,<answer>A) The man carrying a basket on his shoulder.</answer>,simple_relation,orientation,[Single-Choice] Where in the image is the green double door relative to the woman in the black dress? [Options] A) To her right B) To her left C) Directly above her D) Directly below her,A,A) To her right,True,20,16,0.8,1.25,archived_workspace/experiments/perception_control/results/provisional_original_200_20260813/qwen25vl7b/results_qwen2.5-vl-7b_20260813_012745.json,archived_workspace/experiments/perception_control/results/provisional_eval_200_20260813/qwen25vl7b/results_qwen2.5-vl-7b_20260813_005620.json,error-0011
Qwen2.5-VL-7B-Instruct,54,5037,Zj70SP5RI7U_11_0_01_16_376_to_0_01_31_157.mp4,pc-0159,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0159.jpg,2,Dynamic Spatial Relationships,Human-Centric,True/False,"[True/False] During the trick, the skateboard completes a full 360-degree horizontal rotation before the person's feet land back on it.",True,False,<answer>False</answer>,simple_relation,simple_spatial_relation,[Single-Choice] Where is the person relative to the tall buildings in the background? [Options] A) In front of the buildings B) Behind the buildings C) On top of the buildings D) Inside the buildings,A,A) In front of the buildings,True,22,18,0.8181818181818182,1.222222222222222,archived_workspace/experiments/perception_control/results/provisional_original_200_20260813/qwen25vl7b/results_qwen2.5-vl-7b_20260813_012745.json,archived_workspace/experiments/perception_control/results/provisional_eval_200_20260813/qwen25vl7b/results_qwen2.5-vl-7b_20260813_005620.json,error-0014
