sample_id,video,status,bytes,sha256,archive_member,message
video-00001,#NAME#_0_00_16_182_to_0_00_27_736.mp4,missing,0,,,Video basename was not found in the release archive
video-00002,-0QeBNubkRI_3_0_00_40_607_to_0_01_04_063.mp4,extracted,4460998,fa7134bc019cc404fc9b573f4c0b89e5d74c4350db7ef607a45fbd5f35b80ac7,data/videos/-0QeBNubkRI_3_0_00_40_607_to_0_01_04_063.mp4,
video-00003,-0eJJZClRPs_130_0_15_20_519_to_0_15_33_399.mp4,extracted,8047732,55d86b9877af0f1084c56be285b87d73d66c104a99dc17f4d14cc8123860cee5,data/videos/-0eJJZClRPs_130_0_15_20_519_to_0_15_33_399.mp4,
video-00004,-0ewk_ql7_0_9_0_00_59_119_to_0_01_11_799.mp4,extracted,5340842,701c4e998349c0ee05bd87c3171826a237c76dfd46acb4b5cd429e23115b3d77,data/videos/-0ewk_ql7_0_9_0_00_59_119_to_0_01_11_799.mp4,
video-00005,-1RFibBiDMQ_7_0_00_57_633_to_0_01_42_466.mp4,extracted,16718567,f57b36b234a70bc6e3cc57400b6058ef5b830973a964a0ea2988e80bebade415,data/videos/-1RFibBiDMQ_7_0_00_57_633_to_0_01_42_466.mp4,
video-00006,-27ytFZks2I_19_0_06_19_979_to_0_06_44_070.mp4,extracted,5735651,03776d7986c95cad543b9362d1fdde3088c270301766a9667d59c39731e88a3e,data/videos/-27ytFZks2I_19_0_06_19_979_to_0_06_44_070.mp4,
video-00007,-2FtiXG9XHs_4_0_00_22_066_to_0_00_55_500.mp4,extracted,10377722,fdbef623d60d55ed1a2b8efd618bf68207f1fcf2e3c6151e0eef49d08fb04e72,data/videos/-2FtiXG9XHs_4_0_00_22_066_to_0_00_55_500.mp4,
video-00008,-2cZrgHpA8M_81_0_12_05_591_to_0_12_28_848.mp4,extracted,11973802,8fbb55efceaef8c6c8602ca79d7627548fecbb681cfdae7def23db409f20a0d3,data/videos/-2cZrgHpA8M_81_0_12_05_591_to_0_12_28_848.mp4,
video-00009,-2k5WIV0stw_19_0_04_20_593_to_0_04_30_670.mp4,extracted,3547439,7770609a1c1a6aaffc642722e83faa48b538b154fdfaf549d14d979adb925f2b,data/videos/-2k5WIV0stw_19_0_04_20_593_to_0_04_30_670.mp4,
video-00010,-2zRfuwER90_43_0_05_38_738_to_0_05_51_017.mp4,extracted,6627552,f83bd4a52ac0195de638cc16b3ee15a98b59bb8327963d3d9dfa43bdc7be5ec2,data/videos/-2zRfuwER90_43_0_05_38_738_to_0_05_51_017.mp4,
video-00011,-35DsOmmkqg_17_0_02_24_566_to_0_02_48_800.mp4,extracted,9288261,5848a9b66b7fe7c1b237aa891618b118b6c3042212ed3fddd01b61d129a25610,data/videos/-35DsOmmkqg_17_0_02_24_566_to_0_02_48_800.mp4,
video-00012,-3L8g7Ir9p4_10_0_02_11_231_to_0_02_26_179.mp4,extracted,6638606,d618f3f83a3ab5a87e9a9bc3b80f954db9e202d58eb16f747be903243c59b8ff,data/videos/-3L8g7Ir9p4_10_0_02_11_231_to_0_02_26_179.mp4,
