audit_item_id,generated_id,benchmark_index,video,question,answer,category_id,primary_capability,scene_type,question_type,intent_required,reference_transform,prediction_or_counterfactual,temporal_integration,occlusion_tracking,deformation_tracking,reasoning_level
audit-0001,audit-0001-g01,4677,V1vPefRqyY8_6_0_02_02_735_to_0_02_14_014.mp4,"[True/False] At the end of the video, after the fall, the snowboarder is positioned uphill and to the left of the blue rail they slid on at the beginning.",False,6,reference_frame,Human-Centric,True/False,0,1,0,1,0,0,high
audit-0002,audit-0002-g01,23,OVgPWMhb1kA_48_0_08_44_690_to_0_09_03_668.mp4,[True/False] The single duck floating near the shore at the beginning of the video is located to the right of the main flock of ducks seen in the water later in the video.,True,6,reference_frame,Human-Centric,True/False,0,1,0,0,0,0,high
audit-0002,audit-0002-g02,1205,OVgPWMhb1kA_48_0_08_44_690_to_0_09_03_668.mp4,"[Single-Choice] From the shooter's perspective, what is the spatial relationship between the targeted flying bird and the main flock of floating ducks at the exact moment the shot is fired? [Options] A) The flying bird is between the shooter and the flock. B) The flock is between the shooter and the flying bird. C) The flying bird is directly above the flock. D) The flying bird is to the far right of the flock.",D,2,dynamic_relation,Human-Centric,Single-Choice,0,0,0,1,0,0,intermediate
audit-0003,audit-0003-g01,3133,U4dJVRiEsxw_60_0_08_48_861_to_0_09_02_675.mp4,"[Single-Choice] Observing the general direction of the cloud movement across the sky, which area is most likely to be impacted by the rain curtain next? [Options] A) The mountain visible on the left side of the frame. B) The houses located to the far right of the yellow house. C) The yellow house in the center of the frame. D) The area from which the video is being filmed.",D,4,physical_prediction,Object-Centric,Single-Choice,0,0,1,1,0,0,high
audit-0003,audit-0003-g02,3550,U4dJVRiEsxw_60_0_08_48_861_to_0_09_02_675.mp4,"[Single-Choice] Observing the general direction of the cloud movement across the sky, which area is most likely to be impacted by the rain curtain next? [Options] A) The mountain visible on the left side of the frame. B) The houses located to the far right of the yellow house. C) The yellow house in the center of the frame. D) The area from which the video is being filmed.",B,4,physical_prediction,Object-Centric,Single-Choice,0,0,1,1,0,0,high
audit-0003,audit-0003-g03,4592,U4dJVRiEsxw_60_0_08_48_861_to_0_09_02_675.mp4,"[Single-Choice] Observing the general direction of the cloud movement across the sky, which area is most likely to be impacted by the rain curtain next? [Options] A) The mountain visible on the left side of the frame. B) The houses located to the far right of the yellow house. C) The yellow house in the center of the frame. D) The area from which the video is being filmed.",D,4,physical_prediction,Object-Centric,Single-Choice,0,0,1,1,0,0,high
audit-0004,audit-0004-g01,6527,pzYg5DfbxLs_53_0_07_55_678_to_0_08_10_765.mp4,"[Fill-in-the-Blank] As the person lifts the fish from the water into the kayak, the distance between the yellow bobber and the fish's mouth steadily ____.",decreases,2,dynamic_relation,Human-Centric,Fill-in-the-Blank,0,0,0,1,0,0,intermediate
audit-0004,audit-0004-g02,8632,pzYg5DfbxLs_53_0_07_55_678_to_0_08_10_765.mp4,"[Single-Choice] After bringing the fish into the kayak and steadying it, what is the person's most immediate action-oriented goal based on the spatial arrangement of their hands, the fish, and the fishing line? [Options] A) To take a photo of the fish. B) To release the fish back into the water. C) To remove the hook from the fish's mouth. D) To put the fish into a storage compartment.",C,3,action_goal,Human-Centric,Single-Choice,1,0,0,1,0,0,high
audit-0004,audit-0004-g03,9258,pzYg5DfbxLs_53_0_07_55_678_to_0_08_10_765.mp4,"[True/False] From the camera's first-person perspective, the fishing rod remains positioned entirely on the left side of the kayak.",True,6,reference_frame,Human-Centric,True/False,0,1,0,0,0,0,high
audit-0005,audit-0005-g01,8538,f1YWduf7KqQ_26_0_05_12_445_to_0_05_25_224.mp4,"[Single-Choice] As the surfer performs the final turn at the end of the ride (00:08-00:10), how does their upper body rotate relative to the direction the board is traveling? [Options] A) Their upper body rotates in the same direction as the turn. B) Their upper body rotates in the opposite direction of the turn. C) Their upper body remains perfectly still and aligned with the board. D) Their upper body faces directly towards the beach, perpendicular to the board.",A,6,reference_frame,Human-Centric,Single-Choice,0,1,0,0,0,0,high
audit-0005,audit-0005-g02,9235,f1YWduf7KqQ_26_0_05_12_445_to_0_05_25_224.mp4,"[True/False] At the moment the surfer is most obscured by the wave's curl, the tip of their surfboard is the only part of the surfer/board combination that is visible.",True,1,occlusion_permanence,Human-Centric,True/False,0,0,0,1,1,0,intermediate
audit-0006,audit-0006-g01,3985,_qLAtYDDIsw_47_0_04_50_519_to_0_05_01_120.mp4,"[True/False] In the final few seconds, the man in the checkered shirt and blue beanie partially occludes the man in the grey shirt and brown kufi cap from the camera's viewpoint.",False,1,occlusion_permanence,Human-Centric,True/False,0,0,0,1,1,0,intermediate
audit-0006,audit-0006-g02,5107,_qLAtYDDIsw_47_0_04_50_519_to_0_05_01_120.mp4,"[True/False] In the final few seconds, the man in the checkered shirt and blue beanie partially occludes the man in the grey shirt and brown kufi cap from the camera's viewpoint.",True,1,occlusion_permanence,Human-Centric,True/False,0,0,0,1,1,0,intermediate
audit-0006,audit-0006-g03,5983,_qLAtYDDIsw_47_0_04_50_519_to_0_05_01_120.mp4,"[Multiple-Select] The video pans from left to right across a line of seated men. If the camera had instead panned from right to left at the same speed, which two individuals would have been the first to appear fully in the frame? (Select two) [Options] A) The man in the black cowboy hat. B) The man in the brown kufi cap. C) The man in the patterned cap. D) The man in the blue beanie.","B,D",6,reference_frame,Human-Centric,Multiple-Select,0,1,0,0,0,0,high
audit-0007,audit-0007-g01,3717,WO5pDwf515g_15_0_04_19_399_to_0_04_36_566.mp4,"[Single-Choice] At the 8-second mark, two large silver fish are swimming towards the right. Which statement accurately describes their relative positions by the time they reach the far right of the tank? [Options] A) The fish that was initially further back overtakes the one in front. B) The two fish swim into the plants at the same time. C) The fish that was initially in front remains in front. D) The fish that was initially further back turns and swims away in the opposite direction.",A,2,dynamic_relation,Object-Centric,Single-Choice,0,0,0,1,0,0,intermediate
audit-0007,audit-0007-g02,4788,WO5pDwf515g_15_0_04_19_399_to_0_04_36_566.mp4,"[Single-Choice] At the 8-second mark, two large silver fish are swimming towards the right. Which statement accurately describes their relative positions by the time they reach the far right of the tank? [Options] A) The fish that was initially further back overtakes the one in front. B) The two fish swim into the plants at the same time. C) The fish that was initially in front remains in front. D) The fish that was initially further back turns and swims away in the opposite direction.",C,2,dynamic_relation,Object-Centric,Single-Choice,0,0,0,1,0,0,intermediate
audit-0007,audit-0007-g03,4789,WO5pDwf515g_15_0_04_19_399_to_0_04_36_566.mp4,"[Single-Choice] At the 3-second mark, a single small, pinkish fish swims from the top of the tank down towards the thin vertical branch. What is its path relative to the branch? [Options] A) It swims behind the branch and emerges on the left side. B) It turns right just before reaching the branch and swims away. C) It stops and hides behind the branch. D) It swims in front of the branch and continues downwards.",B,1,occlusion_permanence,Object-Centric,Single-Choice,0,0,0,1,1,0,intermediate
audit-0008,audit-0008-g01,9737,lJ98a0Owtuo_34_0_06_48_174_to_0_06_59_652.mp4,[True/False] The peak height of the wave's crest remains consistent as it travels from the left side of the frame to the right.,False,5,deformation_state,Object-Centric,True/False,0,0,0,1,0,1,intermediate
audit-0009,audit-0009-g01,3158,UEvDE_9rlSY_18_0_03_30_233_to_0_03_42_533.mp4,"[Single-Choice] Assuming the watercraft continues on its current path without turning, what will its position be relative to the group of trees on the land in the next few seconds? [Options] A) It will be directly in front of the trees, having landed on the shore. B) It will have passed the trees, with the trees now on its right side. C) It will have turned away, with the trees getting smaller in the distance. D) It will be stationary in its current position.",B,4,physical_prediction,Human-Centric,Single-Choice,0,0,1,1,0,0,high
audit-0009,audit-0009-g02,3563,UEvDE_9rlSY_18_0_03_30_233_to_0_03_42_533.mp4,"[Single-Choice] Assuming the watercraft continues on its current path without turning, what will its position be relative to the group of trees on the land in the next few seconds? [Options] A) It will be directly in front of the trees, having landed on the shore. B) It will have passed the trees, with the trees now on its right side. C) It will have turned away, with the trees getting smaller in the distance. D) It will be stationary in its current position.",A,4,physical_prediction,Human-Centric,Single-Choice,0,0,1,1,0,0,high
audit-0009,audit-0009-g03,4605,UEvDE_9rlSY_18_0_03_30_233_to_0_03_42_533.mp4,"[Single-Choice] Assuming the watercraft continues on its current path without turning, what will its position be relative to the group of trees on the land in the next few seconds? [Options] A) It will be directly in front of the trees, having landed on the shore. B) It will have passed the trees, with the trees now on its right side. C) It will have turned away, with the trees getting smaller in the distance. D) It will be stationary in its current position.",B,4,physical_prediction,Human-Centric,Single-Choice,0,0,1,1,0,0,high
audit-0010,audit-0010-g01,643,_FuEMlST0s8_90_0_14_57_997_to_0_15_09_376.mp4,"[True/False] At the end of the video, the golf ball that was hit by the player is no longer on the surface of the green.",False,1,occlusion_permanence,Human-Centric,True/False,0,0,0,1,1,0,intermediate
audit-0010,audit-0010-g02,644,_FuEMlST0s8_90_0_14_57_997_to_0_15_09_376.mp4,"[Single-Choice] Just before the moving ball reaches the stationary ball, based on its speed and direction, what is its most likely final destination? [Options] A) It will stop short of the hole. B) It will roll directly into the hole. C) It will collide with the stationary ball. D) It will roll past the hole to the right.",A,4,physical_prediction,Human-Centric,Single-Choice,0,0,1,1,0,0,high
audit-0010,audit-0010-g03,2221,_FuEMlST0s8_90_0_14_57_997_to_0_15_09_376.mp4,"[Fill-in-the-Blank] As the newly hit ball rolls past the hole, it passes on the ______ side of the flagstick from the camera's final point of view.",left,6,reference_frame,Human-Centric,Fill-in-the-Blank,0,1,0,0,0,0,high
audit-0010,audit-0010-g04,3953,_FuEMlST0s8_90_0_14_57_997_to_0_15_09_376.mp4,"[Fill-in-the-Blank] As the golf ball hit by the player rolls towards the hole, it passes to the ______ of the other stationary golf ball already on the green.",left,2,dynamic_relation,Human-Centric,Fill-in-the-Blank,0,0,0,1,0,0,intermediate
audit-0010,audit-0010-g05,5073,_FuEMlST0s8_90_0_14_57_997_to_0_15_09_376.mp4,"[Fill-in-the-Blank] As the golf ball hit by the player rolls towards the hole, it passes to the ______ of the other stationary golf ball already on the green.",left,2,dynamic_relation,Human-Centric,Fill-in-the-Blank,0,0,0,1,0,0,intermediate
audit-0011,audit-0011-g01,2442,I1zDGqSd1qY_38_0_09_02_275_to_0_09_16_155.mp4,"[Single-Choice] As the drone flies away from the camera, what is its position relative to the utility pole at the moment it is horizontally aligned with the green dumpster? [Options] A) It has already passed to the left of the utility pole. B) It is directly in front of the utility pole. C) It has not yet reached the utility pole. D) It is flying at the same height as the top of the utility pole.",C,2,dynamic_relation,Object-Centric,Single-Choice,0,0,0,1,0,0,intermediate
audit-0011,audit-0011-g02,2444,I1zDGqSd1qY_38_0_09_02_275_to_0_09_16_155.mp4,[True/False] The drone's landing gear is in the same state (either extended or retracted) immediately before it passes behind the utility pole as it is immediately after it re-emerges.,True,1,occlusion_permanence,Object-Centric,True/False,0,0,0,1,1,0,intermediate
audit-0011,audit-0011-g03,3086,I1zDGqSd1qY_38_0_09_02_275_to_0_09_16_155.mp4,"[Single-Choice] As the drone flies away from the camera, what is its position relative to the utility pole at the moment it is horizontally aligned with the green dumpster? [Options] A) It has already passed to the left of the utility pole. B) It is directly in front of the utility pole. C) It has not yet reached the utility pole. D) It is flying at the same height as the top of the utility pole.",C,2,dynamic_relation,Object-Centric,Single-Choice,0,0,0,1,0,0,intermediate
audit-0011,audit-0011-g04,3088,I1zDGqSd1qY_38_0_09_02_275_to_0_09_16_155.mp4,[True/False] The drone's landing gear is in the same state (either extended or retracted) immediately before it passes behind the utility pole as it is immediately after it re-emerges.,True,1,occlusion_permanence,Object-Centric,True/False,0,0,0,1,1,0,intermediate
audit-0011,audit-0011-g05,4196,I1zDGqSd1qY_38_0_09_02_275_to_0_09_16_155.mp4,"[Single-Choice] As the drone flies away from the camera, what is its position relative to the utility pole at the moment it is horizontally aligned with the green dumpster? [Options] A) It has already passed to the left of the utility pole. B) It is directly in front of the utility pole. C) It has not yet reached the utility pole. D) It is flying at the same height as the top of the utility pole.",C,2,dynamic_relation,Object-Centric,Single-Choice,0,0,0,1,0,0,intermediate
audit-0011,audit-0011-g06,4197,I1zDGqSd1qY_38_0_09_02_275_to_0_09_16_155.mp4,[True/False] The drone's landing gear is in the same state (either extended or retracted) immediately before it passes behind the utility pole as it is immediately after it re-emerges.,False,1,occlusion_permanence,Object-Centric,True/False,0,0,0,1,1,0,intermediate
audit-0012,audit-0012-g01,8056,gabX04pMBQY_129_0_16_10_666_to_0_16_25_233.mp4,"[Single-Choice] From the perspective of the man standing still near the flagstick, the golf ball comes to a stop on his ______. [Options] A) left side. B) right side. C) directly in front. D) directly behind.",A,6,reference_frame,Human-Centric,Single-Choice,0,1,0,0,0,0,high
audit-0012,audit-0012-g02,8057,gabX04pMBQY_129_0_16_10_666_to_0_16_25_233.mp4,"[Single-Choice] After the golfer hits the ball, where does it come to rest in relation to the flagstick from the camera's point of view? [Options] A) Between the golfer who hit the ball and the flagstick. B) To the right of and slightly beyond the flagstick. C) To the left of and short of the flagstick. D) Directly in the hole.",B,3,action_goal,Human-Centric,Single-Choice,1,0,0,1,0,0,high
audit-0012,audit-0012-g03,9063,gabX04pMBQY_129_0_16_10_666_to_0_16_25_233.mp4,"[True/False] When the video ends, the two people are closer to each other than they are at any other moment when both are visible on screen.",True,2,dynamic_relation,Human-Centric,True/False,0,0,0,1,0,0,intermediate
audit-0013,audit-0013-g01,1156,NkFI7LBA8N4_22_0_03_36_382_to_0_03_48_127.mp4,"[True/False] The dark sedan that drives from left to right passes in front of the yellow car, temporarily occluding it from view.",False,1,occlusion_permanence,Object-Centric,True/False,0,0,0,1,1,0,intermediate
audit-0014,audit-0014-g01,2446,I2GVSghytCI_5_0_01_15_542_to_0_01_30_557.mp4,"[Single-Choice] In the first three seconds, the horse begins a wide turn to its left. If it had maintained that initial turning radius, what path would it have followed? [Options] A) It would have run into the fence on the left side of the arena. B) It would have completed a tight circle in the center of the arena. C) It would have continued along the fence at the far end of the arena. D) It would have reversed direction and run towards the camera.",C,4,physical_prediction,Human-Centric,Single-Choice,0,0,1,1,0,0,high
audit-0014,audit-0014-g02,3090,I2GVSghytCI_5_0_01_15_542_to_0_01_30_557.mp4,"[Single-Choice] In the first three seconds, the horse begins a wide turn to its left. If it had maintained that initial turning radius, what path would it have followed? [Options] A) It would have run into the fence on the left side of the arena. B) It would have completed a tight circle in the center of the arena. C) It would have continued along the fence at the far end of the arena. D) It would have reversed direction and run towards the camera.",C,4,physical_prediction,Human-Centric,Single-Choice,0,0,1,1,0,0,high
audit-0014,audit-0014-g03,4198,I2GVSghytCI_5_0_01_15_542_to_0_01_30_557.mp4,"[Single-Choice] In the first three seconds, the horse begins a wide turn to its left. If it had maintained that initial turning radius, what path would it have followed? [Options] A) It would have run into the fence on the left side of the arena. B) It would have completed a tight circle in the center of the arena. C) It would have continued along the fence at the far end of the arena. D) It would have reversed direction and run towards the camera.",C,4,physical_prediction,Human-Centric,Single-Choice,0,0,1,1,0,0,high
audit-0015,audit-0015-g01,5232,rbDgTJYSAXc_5_0_00_18_418_to_0_00_38_138.mp4,"[True/False] From the second woman's standing position inside the bathroom, the exposed pipes in the ceiling are located directly above her head.",True,6,reference_frame,Human-Centric,True/False,0,1,0,0,0,0,high
audit-0015,audit-0015-g02,5963,rbDgTJYSAXc_5_0_00_18_418_to_0_00_38_138.mp4,"[Multiple-Select] After the ceiling collapse, which of the following are now spatially positioned higher than the base of the white light fixture? (Select all that apply) [Options] A) The white clothes hanger on the wall. B) The exposed metal pipes. C) The top of the doorway. D) The cardboard box in the ceiling cavity.","B,D",2,dynamic_relation,Human-Centric,Multiple-Select,0,0,0,1,0,0,intermediate
audit-0016,audit-0016-g01,5815,i_XP2x9DJ_Q_50_0_06_39_132_to_0_06_50_510.mp4,[Multiple-Select] Which of the following statements accurately describe a physical interaction or state change shown in the video? (Select all that apply) [Options] A) The knife is used to create a new hole in the meat. B) The person's gloved hand causes visible compression on the surface of the meat. C) The knife passes through a pre-existing channel within the meat and bone. D) The meat is sliced into two separate pieces by the end of the video.,"B, C",5,deformation_state,Human-Centric,Multiple-Select,0,0,0,1,0,1,intermediate
audit-0016,audit-0016-g02,8881,i_XP2x9DJ_Q_50_0_06_39_132_to_0_06_50_510.mp4,"[True/False] From the person's own perspective, the hand holding the knife is their right hand.",True,6,reference_frame,Human-Centric,True/False,0,1,0,0,0,0,high
audit-0017,audit-0017-g01,471,QmHwLF0_P3g_13_0_03_21_117_to_0_04_06_454.mp4,"[True/False] If the black convertible were lowered completely to the ground from its current position on the lift, it would come to rest parallel to and beside the red tool cabinet.",True,4,physical_prediction,Object-Centric,True/False,0,0,1,1,0,0,high
audit-0017,audit-0017-g02,472,QmHwLF0_P3g_13_0_03_21_117_to_0_04_06_454.mp4,"[True/False] Because the car's hood is fully open, its highest point is above the roofline of the silver car parked next to it.",True,5,deformation_state,Object-Centric,True/False,0,0,0,1,0,1,intermediate
audit-0018,audit-0018-g01,3650,VEv8V1CuIcE_30_0_05_50_550_to_0_06_16_042.mp4,"[True/False] The primary action of the knife is to slice through a complete cross-section of the fish, including the skin and meat together.",True,5,deformation_state,Human-Centric,True/False,0,0,0,1,0,1,intermediate
audit-0018,audit-0018-g02,4698,VEv8V1CuIcE_30_0_05_50_550_to_0_06_16_042.mp4,"[True/False] The primary action of the knife is to slice through a complete cross-section of the fish, including the skin and meat together.",True,5,deformation_state,Human-Centric,True/False,0,0,0,1,0,1,intermediate
audit-0019,audit-0019-g01,5805,j8SWLmK4lk8_60_0_12_05_633_to_0_12_19_266.mp4,"[Multiple-Select] Around the 8-second mark, a stingray briefly shows its white underside before being occluded by a wave and another stingray. Which statements accurately describe its spatial properties when it becomes clearly visible again? (Select all that apply) [Options] A) It is now located between the person in striped shorts and the person in the patterned dress. B) It has moved significantly closer to the yellow container on the sand. C) Its body is now oriented parallel to the shoreline. D) It is now the stingray furthest from the man in the dark blue shirt.","A, C",1,occlusion_permanence,Human-Centric,Multiple-Select,0,0,0,1,1,0,intermediate
audit-0019,audit-0019-g02,7378,j8SWLmK4lk8_60_0_12_05_633_to_0_12_19_266.mp4,[Single-Choice] The man in the dark blue shirt gestures with his right arm towards the water. What is the most likely immediate spatial purpose of this gesture? [Options] A) To warn the other people to back away from the water. B) To indicate the specific location where the stingrays are most concentrated for the others to see. C) To signal a boat that is out of the camera's view. D) To point out the yellow container on the sand.,B,3,action_goal,Human-Centric,Single-Choice,1,0,0,1,0,0,high
