probe_sample_id,source_sample_id,benchmark_index,video,original_question,original_ground_truth,category_id,category,scene_type,question_type,assigned_probe_type,assigned_probe_subtype,target_answer_position,source_sample_sha256,selection_sha256
probe-0001,pc-0225,1429,cCzDa3zWdjo_39_0_09_15_933_to_0_09_26_600.mp4,"[Single-Choice] At the end of the video, the rider points with her left hand across her body. Based on this gesture and the layout of the field, what is she most likely indicating to the person filming? [Options] A) The direction she and the horse will go next. B) The location of an obstacle off-screen to the camera's left. C) An obstacle located to the right from the camera's perspective. D) That she is finished with the exercise.",C,3,Action and Intent-Driven Spatial Reasoning,Human-Centric,Single-Choice,action_event,action_recognition,A,391316aaa5c76df3a88d72a47056add2f371ac7b6b9db98340c4a0843acbc855,2afc1ff69ab3c269fe8cf3aac482c00ccb0dc547d05af87cd18a990d6a2c5ecc
probe-0002,pc-0325,2284,cvHz5JgkzlM_41_0_06_01_094_to_0_06_15_742.mp4,"[Single-Choice] If the car had continued its trajectory and rotation from the point seen at the 0:07 mark without the driver correcting its path, which object would it have most likely collided with? [Options] A) The parked semi-trailer on the right. B) The green dumpsters. C) The white truck that briefly enters from the left. D) The loading dock doors of the main building.",D,4,Predictive and Counterfactual Spatial Reasoning,Human-Centric,Single-Choice,entity,object_actor_presence,B,5ffb229dd0ab7795f7c87f65fdd68bf9f9a298d6803edfe5700118256b33cc61,725049f3c019dadf3816dc1cc780625e9594ddc8031bd86720fe77ea4f8275f3
probe-0003,pc-0435,4561,TZckze5qCeY_24_0_03_32_812_to_0_03_51_664.mp4,"[True/False] When the person opens the device, the top lid moves away from the camera to reveal the interior.",False,5,Object Deformation and State Transition,Human-Centric,True/False,simple_relation,orientation,A,3dfb572631ea0c974134af4bdcdb7efec22eee191de7af56f7ce01d3b3fcc8f9,a527c7032df12c501c4c3a1ddd0539d55a46cced2ae08bb27fa9de14f7d8cdf4
probe-0004,pc-0107,287,4K8-QImEpk0_7_0_00_50_479_to_0_01_04_120.mp4,[True/False] The piece that breaks off the fishing rod travels in a high arc before landing in the water.,False,2,Dynamic Spatial Relationships,Human-Centric,True/False,action_event,action_recognition,B,bb17935f6f94d0bf892640845e51d21d96bab0d49d9fea9b96b120eecbe80899,87ec37fd808b8887412096b1e168e677924121ba586694cae5fafbfc91a270fb
probe-0005,pc-0060,4749,VpbGt1S2_MA_15_0_01_26_553_to_0_01_39_399.mp4,"[True/False] During the moment the white boat (sail number 3412) overtakes the yellow boat, the person steering the yellow boat is completely hidden from the camera's view by the white boat's sail.",False,1,Object Permanence and Occlusion Tracking,Human-Centric,True/False,simple_relation,simple_spatial_relation,C,7f95413b03f10d745272601caf1ff1b781e9aea36dea40c25d4e5abd20c2dbea,7247142d2dbe4bd15b2644a913a67f7bcaa8c632da0057b6aa9a46e2b63d90b3
probe-0006,pc-0267,5952,sdQGcOEbh3Y_25_0_02_45_333_to_0_02_57_900.mp4,"[Multiple-Select] Based on the puma's body language (lowered head, tentative paw extensions, focused gaze), which of the following spatial intentions can be inferred? (Select all that apply) [Options] A) An intention to immediately consume the crayfish. B) An intention to investigate the crayfish from a safe distance. C) An intention to herd all the crayfish into a single group. D) An intention to cautiously test the crayfish's reaction to being touched.","B,D",3,Action and Intent-Driven Spatial Reasoning,Object-Centric,Multiple-Select,simple_relation,simple_spatial_relation,B,fd868a1f1adf7ce4425f8259ba5bd8f8e24eafa7d347ce8d8ca56898a3f2e7c9,b92b0e6e8be87242514e00f98d2b95df7008a3b4677f82a399414a184ba0b76f
probe-0007,pc-0406,481,RBwH2FC5NkQ_41_0_08_33_339_to_0_08_44_358.mp4,[True/False] The fishing rod transitions from a relatively straight state to a significantly curved state.,False,5,Object Deformation and State Transition,Human-Centric,True/False,entity,object_actor_presence,D,14907035102bad16654dbba539ae686236a649e4f2081aea11affe3a091e9967,0730c1a40442bb6e54a008c95b4843f27f3d08f35e7e3bec24b5d1b38289e36b
probe-0008,pc-0296,8864,iiK9RCnBQKs_3_0_00_21_054_to_0_00_47_046.mp4,"[True/False] At the beginning of the video (0:00-0:02), the player with the orange headband moves in a direction intended to intercept a ball hit toward the center of the court.",True,3,Action and Intent-Driven Spatial Reasoning,Human-Centric,True/False,simple_relation,simple_spatial_relation,A,9eabe588fd150b408238398fab3facc43a25ab6e8ca4d4cdb54cab4d7ee5abe4,04948dbe1733b7dd681c44b299ef24e3b7f5d88e3a8b56fb12d332ea4f7018cb
probe-0009,pc-0318,1940,FDMxA941dVE_64_0_08_46_292_to_0_08_56_869.mp4,"[Single-Choice] If the kitesurfer were to immediately make a sharp 90-degree turn to their left, what would be their new direction of travel relative to the landmarks? [Options] A) Directly towards the beach with palm trees. B) Parallel to the line of wooden posts, but moving away from the pier. C) Directly towards the large white dome. D) Towards the open sea, away from the shoreline.",D,4,Predictive and Counterfactual Spatial Reasoning,Human-Centric,Single-Choice,simple_relation,simple_spatial_relation,D,277baa0301903de1bce2838444afb4e07ff557c9946921fee96acf6be622c209,33975d68c3d2908af36d72196f4f33f7b773f45bffd6728ac20e1f2989af48ec
probe-0010,pc-0518,1119,NLFdDYG79lc_64_0_11_17_277_to_0_11_39_232.mp4,"[True/False] Throughout the entire video, the fish remains to the right side of the boat from the fisherman's point of view.",True,6,Egocentric vs. Allocentric Reference Frames,Human-Centric,True/False,simple_relation,orientation,B,0ce91bc04a36df6d45affab924983a383b94eb1ccfabbce161b4c193755a059c,0e8ed574365f7ffbd53f2abd53217ee33edc132e788d75fd9aac7c73b31fd965
probe-0011,pc-0255,5491,v0C5551Yh0k_11_0_01_18_745_to_0_01_31_491.mp4,[Single-Choice] What action does the shirtless surfer take that significantly lowers their body's center of gravity relative to the board? [Options] A) They jump off the board. B) They crouch low while remaining on their feet. C) They lie down on their stomach. D) They fall backward into the water.,C,3,Action and Intent-Driven Spatial Reasoning,Human-Centric,Single-Choice,entity,object_actor_presence,C,5b788c7d4b2c893992ccef318000a4ba6f0e5ddad60bb203087313cb8f396d50,fc747a949d9e1aea6509a174deaef8b8a2648f6f52e47561e5f4e72b03bc44b6
probe-0012,pc-0568,5592,l5gnnZXoDK0_18_0_02_11_360_to_0_02_21_400.mp4,"[True/False] During the skier's final turn (from 5-8 seconds), the shadow cast by the skier is consistently on their left side.",False,6,Egocentric vs. Allocentric Reference Frames,Human-Centric,True/False,action_event,action_recognition,C,cee10649341ab7239305dd5b3568f241315af64b5ecf7bc98ea61d08a5c5ab7f,b59931b0113e0d47aa11940614c8a184a23010b27aad5104fccb351d3ecffa4a
probe-0013,pc-0342,3608,Ul4Hy1EfPNQ_41_0_07_41_628_to_0_07_54_607.mp4,"[Single-Choice] If the girl had pushed off with her feet with the same force but without first turning the handlebars, what would have been the tricycle's most likely initial path? [Options] A) It would have moved directly toward the camera. B) It would have moved backward away from the camera. C) It would have moved to the left, as it did in the video. D) It would have spun in a circle without moving forward.",C,4,Predictive and Counterfactual Spatial Reasoning,Human-Centric,Single-Choice,simple_relation,orientation,B,4ac757726974ee97e702822eaa9b5b26356d5d771b6a19996cc98f28056f15cb,40c1d7c8f6b757a0ec31583e08986123be307aeeae7d1bc5bb6166841f3b8613
