scope_item_id,scope_status,primary_dimension,secondary_dimensions,confidence,reason_cn
scope-0001,supporting_operation,C2_dynamic_spatial,,high,询问动作结束后的实体相对位置，是动态空间关系的终态基础操作
scope-0002,supporting_operation,C2_dynamic_spatial,,high,询问两个实体的静态前后关系，可作为动态空间关系的基础表示
scope-0003,supporting_operation,C3_action_intent,,medium,询问捕鱼操作中两个目标相关动作的先后顺序，支撑行动结构理解
scope-0004,supporting_operation,C2_dynamic_spatial,,high,询问输电线与建筑的静态上下关系
scope-0005,supporting_operation,C2_dynamic_spatial,,high,询问三脚架与承载表面的静态拓扑关系
scope-0006,directly_in_scope,C5_deformation_state,C3_action_intent,high,询问按键操作导致的仪表盘状态转变
scope-0007,supporting_operation,C2_dynamic_spatial,,high,询问运动结束后鱼相对船的空间终态
scope-0008,supporting_operation,C3_action_intent,C2_dynamic_spatial,medium,询问捕鱼过程中收线与入网的动作顺序
scope-0009,directly_in_scope,C2_dynamic_spatial,,high,询问人物沿路径经过两个地点的先后关系
scope-0010,directly_in_scope,C2_dynamic_spatial,,high,需要跨片段判断水翼板手与水面的高度关系是否持续
scope-0011,directly_in_scope,C2_dynamic_spatial,,high,询问无人机下降轨迹的最终着陆表面
scope-0012,directly_in_scope,C6_reference_frame,C2_dynamic_spatial,high,需要判断马的运动方向是否由侧向变为朝相机方向
scope-0013,supporting_operation,C2_dynamic_spatial,,medium,询问车辆沿行驶路径经历两个位置事件的先后顺序
scope-0014,directly_in_scope,C2_dynamic_spatial,,high,询问摩托车通过路口时的转向轨迹
scope-0015,supporting_operation,C3_action_intent,C2_dynamic_spatial,medium,询问鱼从出水到被举起的捕鱼动作阶段顺序
scope-0016,directly_in_scope,C2_dynamic_spatial,,high,询问汽车连续行驶过程中方向随时间的变化
scope-0017,directly_in_scope,C5_deformation_state,,high,需要跨片段追踪发动机盖的开合状态
scope-0018,directly_in_scope,C2_dynamic_spatial,,high,询问浪线相对沙滩边缘的推进关系
scope-0019,directly_in_scope,C5_deformation_state,C2_dynamic_spatial,high,同时要求追踪鱼竿弯曲形变及其相对海面的方向变化
scope-0020,supporting_operation,C3_action_intent,,medium,询问车辆动作阶段中烟雾出现与加速的时间关系
scope-0021,directly_in_scope,C5_deformation_state,C3_action_intent,high,询问按压操作后车门是否发生开合状态变化
scope-0022,directly_in_scope,C5_deformation_state,,high,询问操作过程中橡皮筋编织结构的形变与状态变化
scope-0023,directly_in_scope,C6_reference_frame,,high,询问机翼相对跑道在画面坐标中的持续位置
scope-0024,directly_in_scope,C2_dynamic_spatial,,high,要求跨片段追踪冲浪者多次方向相反的转向
scope-0025,directly_in_scope,C6_reference_frame,C2_dynamic_spatial,high,询问反光区域随相机运动产生的视点依赖变化
scope-0026,directly_in_scope,C2_dynamic_spatial,,high,询问两辆运动汽车是否发生空间交会
scope-0027,directly_in_scope,C2_dynamic_spatial,,high,直接询问两个运动实体之间距离的变化
scope-0028,outside_scope,NONE,,high,只询问讲解镜头先展示哪个对象，不需要六维中的空间推理
scope-0029,directly_in_scope,C2_dynamic_spatial,,high,询问鱼被举起后身体朝向随时间的变化
scope-0030,directly_in_scope,C2_dynamic_spatial,,high,需要在着陆过程中追踪机身朝向是否稳定
scope-0031,directly_in_scope,C3_action_intent,,high,询问指向动作的直接空间目标区域
scope-0032,directly_in_scope,C5_deformation_state,,high,询问操作后折叠自行车轮部状态是否改变
scope-0033,directly_in_scope,C6_reference_frame,,high,询问栏杆在画面参考系中的持续位置
scope-0034,supporting_operation,C2_dynamic_spatial,,medium,询问火箭尖端与发射架的静态方向关系
scope-0035,directly_in_scope,C2_dynamic_spatial,,high,询问车辆绕行时车头朝向的动态变化
scope-0036,outside_scope,NONE,,high,只比较镜头展示两个车内部件的时间顺序
scope-0037,supporting_operation,C3_action_intent,,medium,识别人物反复操作物体的动作模式但未直接询问目标
scope-0038,directly_in_scope,C6_reference_frame,,high,需要采用驾驶者参考系判断方向盘相对中控屏的侧向位置
scope-0039,directly_in_scope,C6_reference_frame,,high,询问人物经过相机后箱子在画面参考系中的位置
scope-0040,directly_in_scope,C2_dynamic_spatial,,high,询问冲浪者相对浪壁的高度随时间变化
scope-0041,directly_in_scope,C5_deformation_state,,high,询问车床加工导致的木杆表面状态变化
scope-0042,directly_in_scope,C6_reference_frame,,high,需要采用车辆参考系判断围墙位于哪一侧
scope-0043,directly_in_scope,C6_reference_frame,C2_dynamic_spatial,high,询问汽车经过相机时相对视点的朝向变化
scope-0044,directly_in_scope,C3_action_intent,,high,直接询问使用工具这一行动的目标
scope-0045,directly_in_scope,C5_deformation_state,,high,询问操作后绳索形成的结构状态
scope-0046,directly_in_scope,C6_reference_frame,,high,询问车辆运动时帐篷在画面参考系中的侧向位置
scope-0047,supporting_operation,C2_dynamic_spatial,,high,询问彩色物体与树线的静态上下关系
scope-0048,directly_in_scope,C6_reference_frame,,medium,以水池为对象参考系询问纪念碑的方向
scope-0049,supporting_operation,C2_dynamic_spatial,,high,询问石块相对门洞两侧的静态空间分布
scope-0050,directly_in_scope,C6_reference_frame,,high,询问相机移动时村庄从画面哪一侧进入
scope-0051,outside_scope,NONE,,high,核心只是识别游泳姿势而不要求空间目标或关系推理
scope-0052,directly_in_scope,C4_predictive_counterfactual,C2_dynamic_spatial,high,要求依据当前轨迹预测车辆是否接近弯道内侧
scope-0053,directly_in_scope,C2_dynamic_spatial,,high,询问人群中多个运动主体的方向关系
scope-0054,outside_scope,NONE,,high,只询问镜头展示发动机舱与驾驶舱的先后顺序
scope-0055,directly_in_scope,C2_dynamic_spatial,,high,询问车辆经过标志后的路径分支
scope-0056,directly_in_scope,C2_dynamic_spatial,,high,询问两辆摩托车的前后关系是否随比赛改变
scope-0057,outside_scope,NONE,,high,只比较镜子与装饰灯被展示的先后顺序
scope-0058,directly_in_scope,C2_dynamic_spatial,,high,询问两车在弯道上的前后关系是否变化
scope-0059,supporting_operation,C6_reference_frame,,medium,询问骑乘者相对道路行进方向的主体朝向
scope-0060,supporting_operation,C2_dynamic_spatial,,high,询问树相对果岭的静态侧向位置
scope-0061,directly_in_scope,C2_dynamic_spatial,C6_reference_frame,high,询问航站楼相对机翼的前后关系随运动发生改变
scope-0062,supporting_operation,C3_action_intent,,medium,询问蹲下与抱起设备两个空间动作的先后关系
scope-0063,directly_in_scope,C3_action_intent,C2_dynamic_spatial,high,需要理解车辆为汇入主路而对横向车流作出的等待行为
scope-0064,supporting_operation,C1_occlusion_permanence,,medium,询问云层与输电线是否形成遮挡重叠但不要求跨遮挡持续追踪
scope-0065,outside_scope,NONE,,high,只询问道路画面与驾驶员面部的展示顺序
scope-0066,directly_in_scope,C3_action_intent,C5_deformation_state,high,直接询问制作绳结的空间目标
scope-0067,outside_scope,NONE,,high,询问人物出现前展示的景物身份而非六维空间能力
scope-0068,supporting_operation,C2_dynamic_spatial,,high,询问饰条相对座椅边缘的静态位置
scope-0069,outside_scope,NONE,,high,只对滑雪跳跃动作进行计数
scope-0070,directly_in_scope,C2_dynamic_spatial,,high,询问小船相对驳船的运动方向
scope-0071,directly_in_scope,C1_occlusion_permanence,,high,需要在镜头转移后判断球员是否仍保持可见
scope-0072,directly_in_scope,C2_dynamic_spatial,,medium,询问直升机运动轨迹是否以平稳落到草地结束
scope-0073,directly_in_scope,C2_dynamic_spatial,,high,需要跨片段追踪并计数滑雪者的换刃转向
scope-0074,directly_in_scope,C2_dynamic_spatial,,high,直接询问滑雪板相对栏杆的高度和方向变化
scope-0075,directly_in_scope,C6_reference_frame,C2_dynamic_spatial,high,以球门为对象参考系判断射门终点位于哪一侧
scope-0076,directly_in_scope,C2_dynamic_spatial,,medium,询问鱼从水中到岸边的空间转移顺序
scope-0077,supporting_operation,C2_dynamic_spatial,,high,询问云层与房屋的静态上下关系
scope-0078,directly_in_scope,C1_occlusion_permanence,C2_dynamic_spatial,high,需要跨时间追踪白车与树木之间的遮挡关系
scope-0079,directly_in_scope,C2_dynamic_spatial,,high,询问水翼板相对水面的高度是否随时间稳定
scope-0080,directly_in_scope,C2_dynamic_spatial,,high,询问骑手经过路口时前车的侧向运动
scope-0081,directly_in_scope,C1_occlusion_permanence,C2_dynamic_spatial,high,需要追踪船尾从桥下遮挡中出现与船离开的关系
scope-0082,directly_in_scope,C5_deformation_state,,high,询问收线过程中鱼竿弯曲程度的形变变化
scope-0083,supporting_operation,C3_action_intent,,medium,询问指向山体与转身两个空间动作的先后关系
scope-0084,supporting_operation,C2_dynamic_spatial,,high,询问车辆停止后相对人群的空间终态
scope-0085,supporting_operation,C2_dynamic_spatial,,high,询问鳐鱼相对人群的静态侧向位置
scope-0086,directly_in_scope,C3_action_intent,,high,询问讲解者指向手势的空间目标
scope-0087,directly_in_scope,C2_dynamic_spatial,C3_action_intent,high,询问人与鳐鱼接近过程中鳐鱼运动方向是否改变
scope-0088,supporting_operation,C2_dynamic_spatial,,high,询问入口门相对房车车身的静态位置
scope-0089,directly_in_scope,C3_action_intent,,high,询问讲解者手势的空间指向目标
scope-0090,directly_in_scope,C2_dynamic_spatial,,high,询问敞篷车进入弯道后的朝向变化
scope-0091,directly_in_scope,C2_dynamic_spatial,,high,询问狗群奔跑中的整体运动方向变化
scope-0092,directly_in_scope,C6_reference_frame,C2_dynamic_spatial,high,需要在相机参考系下判断无人机先远离还是接近
