unit_id,disagreement_fields,video,category_id,category,scene_type,question_type,question,gold_answer,model_answer,control_type,control_question,control_gold_answer,control_model_answer,control_pass,rater_1_primary_label,rater_1_secondary_label,rater_1_confidence,rater_1_question_or_key_problem,rater_1_evidence_note,rater_2_primary_label,rater_2_secondary_label,rater_2_confidence,rater_2_question_or_key_problem,rater_2_evidence_note,adjudicated_primary_label,adjudicated_secondary_label,adjudicated_question_or_key_problem,adjudication_note
error-0001,primary_label;secondary_label,hTxS5J_ZaKQ_80_0_13_52_499_to_0_14_04_110.mp4,4,Predictive and Counterfactual Spatial Reasoning,Human-Centric,Fill-in-the-Blank,"[Fill-in-the-Blank] If the car had continued driving straight on its initial path instead of turning, the 'Baraka' entrance sign would have passed by on the car's ______ side.",left,right,action_event,[Single-Choice] What does the camera vehicle do after entering the grassy parking area? [Options] A) Stops at a gatehouse B) Backs into a garage C) Drives past parked RVs D) Crosses a railroad track,C,C) Drives past parked RVs,True,perspective_reference_frame,physical_prediction_counterfactual,high,False,车辆先直行接近 Baraka 标牌，随后向右转并从标牌右侧进入；回答把保持初始直线路径时标牌相对车身的左右侧关系判断反了。,physical_prediction_counterfactual,perspective_reference_frame,high,False,20-frame full-duration sheet: the Baraka sign is visible ahead and to the left of the vehicle's initial straight path before the actual rightward turn; the answer reverses the counterfactual passing side.,physical_prediction_counterfactual,perspective_reference_frame,,反事实条件要求把车辆初始直线路径继续外推；标牌将从车辆左侧通过，故主要缺口是轨迹反事实预测，车身左右参照为明确次要因素。
error-0003,secondary_label,smpHs3qH_dE_40_0_07_17_854_to_0_07_29_532.mp4,4,Predictive and Counterfactual Spatial Reasoning,Object-Centric,Single-Choice,"[Single-Choice] Based on the white van's consistent speed and trajectory, which object would its front bumper be aligned with approximately one second after the video ends? [Options] A) The front of the parked dark-colored SUV. B) The rear of the parked silver sedan. C) The storefront with the red sign in the distance. D) The second light pole on the sidewalk.",D,B) The rear of the parked silver sedan.,action_event,"[Single-Choice] Near the start, what is the camera doing as the street is viewed? [Options] A) Moving forward along the sidewalk B) Remaining fixed beside the curb C) Tilting upward toward the trees D) Crossing the street toward cars",A,B) Remaining fixed beside the curb,False,physical_prediction_counterfactual,perception_recognition,low,False,白色厢式车沿道路横向移动，问题要求将末段速度继续外推约一秒；回答将前保险杠的未来对齐目标判为银色轿车，而非第二根灯杆。control 未通过也提示局部运动识别可能参与。,physical_prediction_counterfactual,spatiotemporal_grounding,medium,False,20-frame full-duration sheet: the white van advances steadily past successive curbside landmarks while the camera also moves forward; choosing the parked silver sedan fails to extrapolate the van's final motion to the later light-pole alignment.,,spatiotemporal_grounding,,白色厢式车与移动相机同时变化，错误选到较早的银色轿车位置；除主要的未来外推失败外，连续跟踪末段轨迹是明确次要缺口。
error-0004,secondary_label,fRmaPWqByGw_25_0_05_06_560_to_0_05_41_199.mp4,5,Object Deformation and State Transition,Object-Centric,Fill-in-the-Blank,"[Fill-in-the-Blank] After the helicopter lands, the visual state of the main rotor blades transitions from a continuous transparent blur to ______, as they slow to a stop.",distinct individual blades,stillness,entity,[Single-Choice] Which surface is visible under the helicopter near its touchdown area? [Options] A) A paved road B) A sandy beach C) A snowy field D) A grassy field,D,D,True,benchmark_ambiguity,,high,True,序列显示直升机旋翼由高速模糊逐渐停止并可辨；模型回答 stillness 与题干“as they slow to a stop”在语义上相容，只因未复述“distinct individual blades”而被判错，答案接受范围存在实质问题。,benchmark_ambiguity,protocol_or_parsing,high,True,20-frame full-duration sheet: the helicopter rotor changes from motion blur to a visibly stopped rotor; 'stillness' describes that terminal state and is semantically compatible with the prompt although it does not match the preferred wording 'distinct individual blades'.,,,,“stillness”与旋翼停止后由模糊变为可辨的终态语义相容；题目答案接受范围已足以解释该误计分，没有独立的输出协议或解析失败证据。
error-0005,primary_label;secondary_label;question_or_key_problem,GIZXp3foP9g_22_0_04_56_896_to_0_05_11_477.mp4,4,Predictive and Counterfactual Spatial Reasoning,Human-Centric,True/False,"[True/False] Based entirely on the difference in acceleration between the two motorcycles within the first two seconds of the race, it is predictable that the motorcycle in the right lane will maintain its lead.",False,True,simple_relation,"[Single-Choice] After the start, which direction do the motorcycles move across the view? [Options] A) From right to left B) Toward the camera C) From left to right D) Away from the camera",C,D,False,physical_prediction_counterfactual,perception_recognition,medium,False,两辆摩托从起步到加速的相对位置持续变化，单凭前两秒差异不足以保证右道车辆维持领先；回答把短时加速度直接外推为持续领先。control 方向题未通过，低层运动方向识别也可能参与。,benchmark_ambiguity,physical_prediction_counterfactual,medium,True,"20-frame full-duration sheet: both motorcycles accelerate left-to-right and their separation changes, but the first two seconds alone do not uniquely establish whether the right-lane motorcycle will maintain its lead for an unspecified future interval.",benchmark_ambiguity,physical_prediction_counterfactual,yes,题干仅限定前两秒，却未界定“maintain its lead”的未来时长；短时加速度不能唯一确定该命题，故题目本身存在实质时间范围歧义。若按预设答案解释，模型也表现出把短时趋势直接外推的次要问题。
error-0007,secondary_label,myJ2l-o5rYQ_73_0_09_40_480_to_0_09_58_960.mp4,2,Dynamic Spatial Relationships,Human-Centric,Fill-in-the-Blank,"[Fill-in-the-Blank] In the final shot of the video taken by the man in the blue shirt, the puck travels across the floor, passing in front of the ______.",seated person,goal,simple_relation,[Single-Choice] Where is the large black equipment relative to the glass doorway? [Options] A) To the left of it B) Directly in front of it C) Directly behind it D) To the right of it,D,D) To the right of it,True,spatiotemporal_grounding,action_goal_binding,medium,False,末段蓝衣男子击出冰球，冰球横穿地面朝右侧坐着的人及器材区域运动；回答将其经过的前景对象绑定为球门，混淆了末段轨迹与目标区域。,spatiotemporal_grounding,perception_recognition,high,False,"20-frame full-duration sheet: in the final shot the puck crosses the floor in front of the seated person/equipment area, whereas the goal belongs to a different spatial location and earlier play context.",,perception_recognition,,末段冰球轨迹的主要问题仍是时空定位；“goal”还把经过的可见参照对象识别成另一场景物体，但没有证据表明这是动作意图或目标绑定。
error-0015,secondary_label;question_or_key_problem,Z0lkr3AQ8Xk_21_0_02_21_820_to_0_02_33_070.mp4,3,Action and Intent-Driven Spatial Reasoning,Human-Centric,Single-Choice,"[Single-Choice] Based on the silver car's final trajectory after swerving across the lane divider, what was its immediate spatial objective?
[Options]
A) To make a U-turn.
B) To pull over on the left shoulder.
C) To turn right at the upcoming intersection.
D) To overtake the black car.",A,C) To turn right at the upcoming intersection.,action_event,"[Single-Choice] Near the start of the event, what is the black car doing? [Options] A) Turning left B) Stopping at the roadside C) Driving straight ahead D) Reversing backward",C,C) Driving straight ahead,True,action_goal_binding,benchmark_ambiguity,low,True,银色车横跨分道线并改变航向，回答把该机动的目标绑定为前方路口右转，而 gold 解释为掉头；仅凭截取轨迹难以直接观察驾驶意图，目标表述存在一定推断性。,action_goal_binding,spatiotemporal_grounding,high,False,"20-frame full-duration sheet: the silver car crosses leftward ahead of the camera and continues rotating back across the roadway, supporting an immediate U-turn objective; the answer binds the maneuver to a right turn at the intersection.",,spatiotemporal_grounding,no,20帧序列显示银色车跨线后持续旋转并横过道路，近期掉头目标可由完整轨迹支持；次要缺口是未连续整合该机动过程，而非题目无法判定。
error-0016,primary_label;secondary_label,EEDc5gDPPdE_10_0_01_11_538_to_0_01_22_449.mp4,2,Dynamic Spatial Relationships,Human-Centric,True/False,"[True/False] As the two individuals walk along the shoreline, the tall, multi-story building in the background appears to move from the right side of the camera's view towards the center.",False,True,simple_relation,[Single-Choice] Where is the long pier relative to the two beachgoers? [Options] A) Behind them to the viewer's right B) Behind them to the viewer's left C) In front of them to the viewer's right D) Between them in the foreground,A,[Answer] A) Behind them to the viewer's right,True,spatiotemporal_grounding,perspective_reference_frame,high,False,两人沿海岸行走时高层建筑在序列中基本位于画面中央偏左，并未从右侧移到中央；回答错误概括了背景地标随移动相机产生的相对位移。,perspective_reference_frame,spatiotemporal_grounding,medium,False,"20-frame full-duration sheet: the selfie camera changes pose while the beachgoers walk, but the tall building remains in the same background sector rather than translating from image-right to center; the answer confuses camera-relative apparent motion.",spatiotemporal_grounding,perspective_reference_frame,,高层建筑在完整序列中未由画面右侧移向中央；错误首先是未跟踪背景地标随时间的画面位置，相机姿态变化造成的参照影响为次要因素。
error-0029,primary_label;secondary_label,N1rs6Sf2x3Y_37_0_17_12_990_to_0_17_43_353.mp4,6,Egocentric vs. Allocentric Reference Frames,Human-Centric,True/False,"[True/False] From the moment the group of four pedestrians becomes fully visible, they are always positioned to the allocentric left of the yellow car.",False,"True.

Answer: True",action_event,[Single-Choice] What is the yellow car doing as the camera approaches it? [Options] A) Driving toward the camera B) Turning across the street C) Parked along the roadside D) Reversing into traffic,C,C) Parked along the roadside,True,perspective_reference_frame,spatiotemporal_grounding,medium,False,相机沿街移动并先后经过黄色车与四名行人，需在稳定场景坐标中比较双方左右位置；回答以移动画面中的瞬时位置概括为始终在左侧。,spatiotemporal_grounding,perspective_reference_frame,high,False,20-frame full-duration sheet: the pedestrian group and yellow parked car change their left-right ordering as the moving camera passes them; 'always left' fails over the full visible interval.,perspective_reference_frame,spatiotemporal_grounding,,问题要求在移动相机下用场景坐标比较行人与黄色车；回答把画面瞬时左右关系当成稳定的allocentric关系，主要是参照系锁定失败，“always”还要求次要的全时段跟踪。
error-0030,primary_label;secondary_label,ZkJgqKAYywE_22_0_04_13_439_to_0_04_23_800.mp4,2,Dynamic Spatial Relationships,Object-Centric,Single-Choice,"[Single-Choice] As the camera pans right, how does the perceived spatial relationship between the small arched section of the track and the large white-tarped structure change? [Options] A) The arched section moves from being below the white structure to being above it. B) The arched section moves from being to the right of the white structure to being directly in front of it. C) The white structure moves from being behind the arched section to being beside it. D) The arched section and the white structure maintain a fixed side-by-side position.",A,C) The white structure moves from being behind the arched section to being beside it.,action_event,"[Single-Choice] Near the end, what is the camera view passing alongside? [Options] A) A row of parked cars B) A wooden roller coaster framework C) A water slide tower D) A chain-link fence line",B,B) A wooden roller coaster framework,True,spatiotemporal_grounding,perspective_reference_frame,medium,False,右移镜头使前景拱形轨道与后方白色覆布结构的投影关系连续变化；回答将变化描述为白色结构由后方移到旁侧，未正确跟踪两物体的相对投影。,perspective_reference_frame,spatiotemporal_grounding,medium,False,20-frame full-duration sheet: the rightward pan changes the projected vertical relation of the foreground arched track and the white-tarped structure; the answer instead describes a behind-to-beside depth change.,perspective_reference_frame,spatiotemporal_grounding,,右移镜头改变前景拱轨与远处白色结构的投影关系；模型把由视点造成的垂直投影变化误述为深度关系变化，连续跟踪投影为次要因素。
error-0032,primary_label;secondary_label,NmImpLawyDg_4_0_02_41_340_to_0_02_52_717.mp4,2,Dynamic Spatial Relationships,Object-Centric,Single-Choice,"[Single-Choice] During the camera's upward pan, what is the apparent change in the position of the blue star-shaped light in the foreground relative to the red and white star-shaped light behind it? [Options] A) The blue light moves from being below the red light to being above it. B) The blue light appears to move further down and to the left relative to the red light. C) The two lights maintain a fixed spatial relationship to each other in the frame. D) The blue light moves from being to the left of the red light to its right.",C,A) The blue light moves from being below the red light to being above it.,simple_relation,[Single-Choice] Where is the red teardrop-shaped ornament positioned relative to the red-and-white star decoration? [Options] A) lower left of it B) upper right of it C) upper left of it D) lower right of it,D,D) lower right of it,True,spatiotemporal_grounding,perception_recognition,high,False,蓝色与红白星形灯固定在同一装饰结构上，镜头上摇时二者相对位置保持不变；回答错误声称蓝灯由下方移到上方。,perspective_reference_frame,spatiotemporal_grounding,high,False,20-frame full-duration sheet: the blue foreground star and red-white star are fixed decorations and retain their relative arrangement during the shared upward camera pan; the answer invents a relative crossing.,spatiotemporal_grounding,perspective_reference_frame,,两盏固定灯在共同上摇中保持相对位置；回答虚构跨越，主要是跨帧关系保持失败，区分共同相机运动与物体相对运动构成次要参照因素。
