audit_item_id,proposal_no,question_text_cn,primary_capability,intent_required,reference_transform,prediction_or_counterfactual,temporal_integration,occlusion_tracking,deformation_tracking,human_involved,reasoning_level,question_format,needs_full_video,confidence,author_notes
audit-0001,1,滑雪者接近金属杆后做了什么？,action_event,0,0,0,1,0,0,1,intermediate,short_answer,0,high,跨帧可见
audit-0001,2,滑雪者越过杆后是否保持站立？,temporal_order,0,0,0,1,0,0,1,intermediate,true_false,0,high,结果可见
audit-0001,3,滑雪者最后朝雪坡的哪个方向滑走？,orientation_facing,0,1,0,1,0,0,1,high,short_answer,0,medium,以画面为参照
audit-0002,1,湖面上有几只水鸟同时可见？,entity_attribute,0,0,0,0,0,0,0,low,short_answer,0,medium,数量随帧变化
audit-0002,2,水鸟群相对岸边如何移动？,dynamic_relation,0,0,0,1,0,0,0,intermediate,short_answer,0,medium,需整合多帧
audit-0002,3,镜头从持枪者转向湖面发生在水鸟起飞之前吗？,temporal_order,0,0,0,1,0,0,1,intermediate,true_false,1,medium,抽帧难定起飞时刻
audit-0003,1,镜头移动后哪栋房屋进入画面中央？,dynamic_relation,0,0,0,1,0,0,0,intermediate,short_answer,0,high,镜头平移明显
audit-0003,2,前景立柱何时遮住远处山景？,occlusion_permanence,0,0,0,1,1,0,0,intermediate,short_answer,0,high,遮挡清楚
audit-0003,3,深色云层位于房屋上方吗？,static_relation,0,0,0,0,0,0,0,low,true_false,0,high,单帧可答
audit-0004,1,钓鱼者先拿着浮漂还是先展示鱼？,temporal_order,0,0,0,1,0,0,1,intermediate,short_answer,0,high,顺序清楚
audit-0004,2,鱼相对皮划艇船头位于哪一侧？,reference_frame,0,1,0,0,0,0,1,high,short_answer,0,high,艇上第一视角
audit-0004,3,鱼被举起后其身体朝向如何变化？,orientation_facing,0,0,0,1,0,0,0,intermediate,short_answer,0,medium,需比较多帧
audit-0005,1,冲浪者进入浪管后是否一度被浪花遮住？,occlusion_permanence,0,0,0,1,1,0,1,intermediate,true_false,0,high,遮挡明显
audit-0005,2,冲浪者从浪管出来后向哪个方向滑行？,dynamic_relation,0,1,0,1,0,0,1,high,short_answer,0,high,以画面为参照
audit-0005,3,冲浪者在浪峰塌下前是否保持站立？,temporal_order,0,0,0,1,0,0,1,intermediate,true_false,0,medium,跨帧可见
audit-0006,1,镜头依次聚焦了几位坐着的人？,temporal_order,0,0,0,1,0,0,1,intermediate,short_answer,0,high,镜头逐人平移
audit-0006,2,戴帽男子坐在最初出现的老人哪一侧？,static_relation,0,1,0,0,0,0,1,high,short_answer,0,high,画面参照
audit-0006,3,蓝帽男子出现前镜头先经过谁？,temporal_order,0,0,0,1,0,0,1,intermediate,short_answer,0,high,顺序可见
audit-0007,1,视频前半段主要出现鱼还是红色虾？,temporal_order,0,0,0,1,0,0,0,intermediate,short_answer,0,high,镜头切换明确
audit-0007,2,红色虾停在水草的什么位置？,static_relation,0,0,0,0,0,0,0,low,short_answer,0,high,单帧可答
audit-0007,3,较大的鱼群在水草前方如何移动？,dynamic_relation,0,0,0,1,0,0,0,intermediate,short_answer,0,medium,轨迹需视频确认
audit-0008,1,波浪朝画面的哪个方向推进？,dynamic_relation,0,1,0,1,0,0,0,high,short_answer,0,medium,以画面为参照
audit-0008,2,浪峰在移动过程中是否逐渐破碎？,deformation_state,0,0,0,1,0,1,0,intermediate,true_false,0,high,形态变化可见
audit-0008,3,太阳反光与浪峰的相对位置如何变化？,dynamic_relation,0,0,0,1,0,0,0,intermediate,short_answer,0,medium,镜头也在移动
audit-0009,1,第一视角所在载具在水面上是否持续前进？,dynamic_relation,0,0,0,1,0,0,1,intermediate,true_false,0,medium,水面背景变化
audit-0009,2,画面右上方持续可见的物体是什么？,entity_attribute,0,0,0,0,0,0,0,low,short_answer,0,medium,疑似帆或翼
audit-0009,3,远处树木相对观察者向哪个方向移动？,reference_frame,0,1,0,1,0,0,1,high,short_answer,0,medium,需区分相机运动
audit-0010,1,镜头从球员转向球洞后球员是否仍在画面中？,occlusion_permanence,0,0,0,1,1,0,1,intermediate,true_false,0,high,离开视野
audit-0010,2,球洞位于沙坑的哪一侧？,static_relation,0,1,0,0,0,0,0,high,short_answer,0,high,画面参照
audit-0010,3,镜头移动的直接目标是跟随球还是展示球洞？,action_goal,1,0,0,1,0,0,1,high,multiple_choice,1,medium,需连续运动判断
audit-0011,1,无人机先远离还是先接近相机？,temporal_order,0,0,0,1,0,0,0,intermediate,short_answer,0,high,距离变化明显
audit-0011,2,无人机降低高度后落在什么表面？,dynamic_relation,0,0,0,1,0,0,0,intermediate,short_answer,0,high,落至地面
